date,swb_sadness
2008m1,-.065902
2008m2,.1456118
2008m3,.1837803
2008m4,-.010326
2008m5,-.1816828
2008m6,-.4548274
2008m7,-.4712131
2008m8,-.4038174
2008m9,-.1419552
2008m10,.1597416
2008m11,.3969354
2008m12,.4867549
2009m1,.6524954
2009m2,.8024358
2009m3,.8641078
2009m4,.8098416
2009m5,.5907741
2009m6,.3761951
2009m7,.3931597
2009m8,.3297514
2009m9,-.1401697
2009m10,-.4290565
2009m11,-.0109556
2009m12,.1494175
2010m1,-.1004079
2010m2,-.5426444
2010m3,-.9726182
2010m4,-1.03178
2010m5,-.5571924
2010m6,-.1388175
2010m7,.0801358
2010m8,.157408
2010m9,.2777365
2010m10,.5404079
2010m11,.6683211
2010m12,.1211439
2011m1,-.7915765
2011m2,-1.185651
2011m3,-1.046719
2011m4,-.9863338
2011m5,-1.026829
2011m6,-1.064077
2011m7,-1.153198
2011m8,-1.151994
2011m9,-1.213955
2011m10,-1.100477
2011m11,-.8007585
2011m12,-.5235064
2012m1,-.7410563
2012m2,-1.357649
2012m3,-1.940678
2012m4,-1.995856
2012m5,-1.527164
2012m6,-.8742819
2012m7,-.6091679
2012m8,-.8152471
2012m9,-.8776833
2012m10,-.7654084
2012m11,-.3925714
2012m12,-.4153016
2013m1,-.8409479
2013m2,-1.068115
2013m3,-.9167836
2013m4,-1.052719
2013m5,-1.076355
2013m6,-1.176885
2013m7,-1.236056
2013m8,-1.141396
2013m9,-1.22508
2013m10,-1.355186
2013m11,-1.508452
2013m12,-1.802707
2014m1,-2.276534
2014m2,-2.420827
2014m3,-2.102234
2014m4,-1.602638
2014m5,-1.208142
2014m6,-1.034651
2014m7,-.8360695
2014m8,-.8168643
2014m9,-.9760008
2014m10,-1.122103
2014m11,-1.104879
2014m12,-.9967276
2015m1,-1.120611
2015m2,-1.470763
2015m3,-1.554872
2015m4,-1.35926
2015m5,-1.192984
2015m6,-1.09371
2015m7,-1.057739
2015m8,-.883938
2015m9,-.8484769
2015m10,-.7403808
2015m11,-.7769495
2015m12,-1.091192
2016m1,-1.394158
2016m2,-.9703311
2016m3,.293378
2016m4,2.420394
