date,cat_summer_leisure
2011m1,-.5390143
2011m2,.0735543
2011m3,.7038961
2011m4,1.222202
2011m5,1.589755
2011m6,1.641139
2011m7,1.190968
2011m8,.4881122
2011m9,-.0886586
2011m10,-.5358986
2011m11,-.9441266
2011m12,-1.086833
2012m1,-.8519359
2012m2,-.3326383
2012m3,.3662709
2012m4,1.033108
2012m5,1.469245
2012m6,1.36844
2012m7,.8225024
2012m8,.1267205
2012m9,-.3993117
2012m10,-.7898023
2012m11,-1.060674
2012m12,-1.11366
2013m1,-.8755026
2013m2,-.3854808
2013m3,.2097582
2013m4,.6945887
2013m5,1.047396
2013m6,1.050796
2013m7,.5459859
2013m8,-.0679713
2013m9,-.6183463
2013m10,-1.129231
2013m11,-1.459511
2013m12,-1.455235
2014m1,-1.130352
2014m2,-.5958216
2014m3,.0106387
2014m4,.5479071
2014m5,.9605317
2014m6,1.123371
2014m7,.8301169
2014m8,.2248896
2014m9,-.3943774
2014m10,-.8687972
2014m11,-1.172535
2014m12,-1.226943
2015m1,-.9774848
2015m2,-.4704788
2015m3,.2678917
2015m4,.9774511
2015m5,1.448198
2015m6,1.429511
2015m7,.8978665
2015m8,.202851
2015m9,-.3900582
2015m10,-.8634803
2015m11,-1.188816
2015m12,-1.223819
2016m1,-.9674383
2016m2,-.4732176
2016m3,.1970335
2016m4,.9147559
