date,cat_health_conditions
2011m1,.1801389
2011m2,.8166789
2011m3,1.186878
2011m4,1.037959
2011m5,.3175749
2011m6,-.1295802
2011m7,-.3141491
2011m8,-.0487467
2011m9,.3847175
2011m10,.5138976
2011m11,.2363871
2011m12,-.1285885
2012m1,.1395396
2012m2,.57903
2012m3,.6934287
2012m4,.3494391
2012m5,-.4240549
2012m6,-.9284797
2012m7,-.8615026
2012m8,-.4273871
2012m9,.0976341
2012m10,.409513
2012m11,.1431201
2012m12,-.405818
2013m1,-.3324987
2013m2,.163509
2013m3,.4490027
2013m4,.3971239
2013m5,-.1424733
2013m6,-.7793039
2013m7,-1.251693
2013m8,-1.213469
2013m9,-.8754274
2013m10,-1.105728
2013m11,-1.497111
2013m12,-1.625801
2014m1,-1.238134
2014m2,-.67855
2014m3,-.5074796
2014m4,-.5941059
2014m5,-.9049352
2014m6,-.9360673
2014m7,-.5727302
2014m8,-.1243751
2014m9,.3904519
2014m10,.532399
2014m11,.1708828
2014m12,-.237942
2015m1,-.0917147
2015m2,.4178477
2015m3,.9709157
2015m4,1.020199
2015m5,.4388856
2015m6,.0114956
2015m7,-.1102351
2015m8,.0816161
2015m9,.6040235
2015m10,.92454
2015m11,.825852
2015m12,.5069628
2016m1,.5126888
2016m2,.6785845
2016m3,.9703211
2016m4,1.334844
