date,swb_happiness
2008m1,-1.18303
2008m2,-.4998749
2008m3,-.2775485
2008m4,-.216045
2008m5,.1557087
2008m6,.0977288
2008m7,-.0803303
2008m8,-.3787715
2008m9,-.5364949
2008m10,-.9911383
2008m11,-1.452808
2008m12,-1.738635
2009m1,-2.414735
2009m2,-2.64839
2009m3,-2.26005
2009m4,-1.61879
2009m5,-1.081379
2009m6,-1.0187
2009m7,-1.307029
2009m8,-1.571523
2009m9,-1.607276
2009m10,-1.482801
2009m11,-1.382275
2009m12,-1.369345
2010m1,-1.790158
2010m2,-1.952051
2010m3,-1.572562
2010m4,-1.072645
2010m5,-.7209006
2010m6,-.5659991
2010m7,-.7229666
2010m8,-1.027118
2010m9,-1.198584
2010m10,-.991965
2010m11,-.6593743
2010m12,-.5677176
2011m1,-.706287
2011m2,-.4973918
2011m3,-.1991192
2011m4,-.0818305
2011m5,-.0102502
2011m6,-.1150021
2011m7,-.3079197
2011m8,-.6176233
2011m9,-.6542277
2011m10,-.5759075
2011m11,-.2092617
2011m12,.0972124
2012m1,-.058506
2012m2,-.0227349
2012m3,.1670644
2012m4,.3472518
2012m5,.4599662
2012m6,.35548
2012m7,.0137458
2012m8,-.2478303
2012m9,-.4223351
2012m10,-.5522094
2012m11,-.5081612
2012m12,-.5268951
2013m1,-.6206911
2013m2,-.3013789
2013m3,-.0109315
2013m4,.0884393
2013m5,.2226411
2013m6,.3399343
2013m7,.3787195
2013m8,.3123751
2013m9,.2396642
2013m10,.1045325
2013m11,.036846
2013m12,-.030476
2014m1,-.1037727
2014m2,.0900191
2014m3,.335355
2014m4,.5059739
2014m5,.4145737
2014m6,.0196904
2014m7,-.3597093
2014m8,-.2958918
2014m9,.0721979
2014m10,.5178493
2014m11,.8056765
2014m12,.8764122
2015m1,.692973
2015m2,.6784825
2015m3,.7966977
2015m4,.7562019
2015m5,.5194288
2015m6,.187877
2015m7,.0380437
2015m8,.0854662
2015m9,.4310503
2015m10,.8153478
2015m11,1.140116
2015m12,.8905231
2016m1,.5090638
2016m2,.6031868
2016m3,.9440858
2016m4,1.565302
