date,cat_social_progress
2011m1,-.5059845
2011m2,-.0860642
2011m3,.0745206
2011m4,-.1764174
2011m5,-.705762
2011m6,-1.271436
2011m7,-1.447437
2011m8,-1.081036
2011m9,-.2995257
2011m10,.1591704
2011m11,.2363352
2011m12,.1071571
2012m1,.1632734
2012m2,.3748322
2012m3,.3778377
2012m4,.0536466
2012m5,-.4875677
2012m6,-1.155249
2012m7,-1.49501
2012m8,-1.319092
2012m9,-.7173169
2012m10,-.3191426
2012m11,-.2619517
2012m12,-.3885382
2013m1,-.2346505
2013m2,-.0585268
2013m3,.0156147
2013m4,-.1323866
2013m5,-.5862915
2013m6,-1.161712
2013m7,-1.321829
2013m8,-.985055
2013m9,-.1729942
2013m10,.4148453
2013m11,.3486866
2013m12,.2190955
2014m1,.3010392
2014m2,.596251
2014m3,.6036603
2014m4,.3686124
2014m5,-.1787734
2014m6,-.8876366
2014m7,-1.147037
2014m8,-.7812982
2014m9,.1202783
2014m10,.627494
2014m11,.6903451
2014m12,.6345639
2015m1,.6671934
2015m2,.9002988
2015m3,1.09295
2015m4,1.086675
2015m5,.6402683
2015m6,-.0425177
2015m7,-.4768282
2015m8,-.2268362
2015m9,.6201484
2015m10,1.125012
2015m11,1.196876
2015m12,1.064205
2016m1,1.19635
2016m2,1.422463
2016m3,1.363179
2016m4,1.249026
