region,date,juifs
Limousin,2013m1,-.53489268
Limousin,2013m2,2.0221095
Limousin,2013m3,-.26144755
Limousin,2013m4,.59911054
Limousin,2013m5,-.028876934
Limousin,2013m6,-.39008713
Limousin,2013m7,.059182793
Limousin,2013m8,-.7305792
Limousin,2013m9,.16059363
Limousin,2013m10,.58326107
Limousin,2013m11,-.72961158
Limousin,2013m12,1.215106
Limousin,2014m1,2.7619805
Limousin,2014m2,1.5423253
Limousin,2014m3,-.042918772
Limousin,2014m4,-.30070615
Limousin,2014m5,-.20208912
Limousin,2014m6,-.47565898
Limousin,2014m7,1.3141644
Limousin,2014m8,.61415327
Limousin,2014m9,-.40429461
Limousin,2014m10,.91877002
Limousin,2014m11,-.20081691
Limousin,2014m12,-.50928259
Limousin,2015m1,2.13308
Limousin,2015m2,1.4764708
Limousin,2015m3,-.33526605
Limousin,2015m4,-.69458514
Limousin,2015m5,.69015169
Limousin,2015m6,.28432089
Limousin,2015m7,-.74405414
Limousin,2015m8,-.3477245
Limousin,2015m9,-.40994811
Limousin,2015m10,.081154659
Limousin,2015m11,-.48454902
Limousin,2015m12,-.75970495
Limousin,2016m1,-.27153015
Limousin,2016m2,-.98059928
Limousin,2016m3,-.42420736
Limousin,2016m4,.49876609
Limousin,2016m5,-.87286597
Limousin,2016m6,-.6393919
Limousin,2016m7,-.78665012
Limousin,2016m8,-1.0172116
Limousin,2016m9,-.92157233
Limousin,2016m10,-.19473356
Limousin,2016m11,.079045489
Limousin,2016m12,-.56947076
Limousin,2017m1,-.42597339
Limousin,2017m2,-.61629027
Limousin,2017m3,-.51464903
