date,swb_respect
2008m1,-1.088947
2008m2,-.3602622
2008m3,-.0933972
2008m4,-.3743061
2008m5,-.3132496
2008m6,-.1890832
2008m7,.2454177
2008m8,1.020823
2008m9,1.744498
2008m10,2.285446
2008m11,2.556213
2008m12,2.174004
2009m1,1.763566
2009m2,1.191905
2009m3,.8530932
2009m4,.8739371
2009m5,1.214814
2009m6,1.710227
2009m7,1.987948
2009m8,2.388944
2009m9,2.886834
2009m10,3.351768
2009m11,3.389049
2009m12,3.075989
2010m1,2.904142
2010m2,2.80571
2010m3,2.80975
2010m4,2.75833
2010m5,2.696693
2010m6,2.46811
2010m7,2.219781
2010m8,2.086339
2010m9,1.963806
2010m10,1.997606
2010m11,2.127938
2010m12,2.3986
2011m1,2.660511
2011m2,2.595717
2011m3,2.231281
2011m4,1.991221
2011m5,2.029813
2011m6,2.251662
2011m7,2.355247
2011m8,2.363055
2011m9,2.457379
2011m10,2.382306
2011m11,2.489208
2011m12,2.461628
2012m1,2.331642
2012m2,2.084825
2012m3,1.8585
2012m4,1.767773
2012m5,1.821647
2012m6,1.658098
2012m7,1.533759
2012m8,1.724468
2012m9,2.130695
2012m10,2.427007
2012m11,2.409096
2012m12,1.891056
2013m1,1.673636
2013m2,1.631868
2013m3,1.606103
2013m4,1.471453
2013m5,1.444015
2013m6,1.404733
2013m7,1.473071
2013m8,1.685833
2013m9,1.891218
2013m10,2.036087
2013m11,2.242445
2013m12,2.244557
2014m1,2.200852
2014m2,1.900834
2014m3,1.453539
2014m4,1.133017
2014m5,1.099062
2014m6,1.188154
2014m7,1.163293
2014m8,1.280293
2014m9,1.656724
2014m10,2.068058
2014m11,2.267884
2014m12,1.978537
2015m1,1.731795
2015m2,1.485817
2015m3,1.150391
2015m4,.8216873
2015m5,.8156133
2015m6,.72838
2015m7,.7584059
2015m8,.9187688
2015m9,1.097542
2015m10,1.051802
2015m11,.7024922
2015m12,.4803743
2016m1,.7953915
2016m2,.9136888
2016m3,.764866
2016m4,.596978
