date,swb_stress
2008m1,-.319376
2008m2,-.196964
2008m3,-.1525085
2008m4,-.3240016
2008m5,-.6623012
2008m6,-.9206713
2008m7,-.8871885
2008m8,-.3234582
2008m9,.3838964
2008m10,.8455288
2008m11,1.016499
2008m12,1.15264
2009m1,1.089116
2009m2,1.12384
2009m3,1.111139
2009m4,1.12827
2009m5,1.016358
2009m6,.8194162
2009m7,.8007846
2009m8,1.228765
2009m9,1.810656
2009m10,2.401476
2009m11,2.503707
2009m12,2.047227
2010m1,1.466249
2010m2,1.272869
2010m3,1.258889
2010m4,1.331277
2010m5,1.296624
2010m6,1.260321
2010m7,1.618995
2010m8,2.148654
2010m9,2.481173
2010m10,2.698858
2010m11,2.522505
2010m12,1.76861
2011m1,.5320669
2011m2,-.0818878
2011m3,-.2850729
2011m4,-.1285335
2011m5,-.1254471
2011m6,-.0870772
2011m7,.0416669
2011m8,.3370929
2011m9,.6485249
2011m10,.7558183
2011m11,.5482971
2011m12,.3662801
2012m1,.0408364
2012m2,-.1528147
2012m3,-.2757285
2012m4,-.367815
2012m5,-.5195338
2012m6,-.5808532
2012m7,-.4065705
2012m8,-.0402557
2012m9,.4676083
2012m10,.9457733
2012m11,1.324766
2012m12,1.547829
2013m1,.9758837
2013m2,.4489192
2013m3,.1067207
2013m4,-.0888684
2013m5,-.0156702
2013m6,.2932512
2013m7,1.031236
2013m8,1.616787
2013m9,2.046436
2013m10,2.189057
2013m11,2.083736
2013m12,1.893273
2014m1,1.096417
2014m2,.4656023
2014m3,.1494938
2014m4,.0916237
2014m5,.4789084
2014m6,.8082243
2014m7,.9163103
2014m8,1.009422
2014m9,1.138443
2014m10,1.239181
2014m11,1.158171
2014m12,.9405786
2015m1,.5488667
2015m2,.3513937
2015m3,.3725329
2015m4,.4508693
2015m5,.3670814
2015m6,.2307528
2015m7,.3188358
2015m8,.8257023
2015m9,1.363741
2015m10,1.569462
2015m11,1.448273
2015m12,1.082893
2016m1,.5052388
2016m2,.3099805
2016m3,.5441741
2016m4,.9228172
