region,date,juifs
Picardie,2013m1,.43637401
Picardie,2013m2,.031791985
Picardie,2013m3,-.19101945
Picardie,2013m4,.051026586
Picardie,2013m5,-.076801933
Picardie,2013m6,-.36776444
Picardie,2013m7,.14817417
Picardie,2013m8,-.21287492
Picardie,2013m9,.090782456
Picardie,2013m10,-.31051901
Picardie,2013m11,.17553666
Picardie,2013m12,1.289049
Picardie,2014m1,2.1331704
Picardie,2014m2,.45700657
Picardie,2014m3,-.25480649
Picardie,2014m4,.2717737
Picardie,2014m5,.13383019
Picardie,2014m6,-.19677302
Picardie,2014m7,2.2311721
Picardie,2014m8,.73835081
Picardie,2014m9,-.42366695
Picardie,2014m10,-.31564772
Picardie,2014m11,-.38191596
Picardie,2014m12,-.25334537
Picardie,2015m1,1.9265901
Picardie,2015m2,.54590476
Picardie,2015m3,-.10882283
Picardie,2015m4,.30000058
Picardie,2015m5,-.68802989
Picardie,2015m6,-.21346985
Picardie,2015m7,.29275993
Picardie,2015m8,.017485529
Picardie,2015m9,-.13642269
Picardie,2015m10,-.22969291
Picardie,2015m11,-.10179342
Picardie,2015m12,-.58302164
Picardie,2016m1,-.51900345
Picardie,2016m2,.25608194
Picardie,2016m3,-.36360043
Picardie,2016m4,-.066608772
Picardie,2016m5,-.38931882
Picardie,2016m6,-.39237553
Picardie,2016m7,-.57920247
Picardie,2016m8,-.68106449
Picardie,2016m9,-.66871095
Picardie,2016m10,-.17320344
Picardie,2016m11,-.27644649
Picardie,2016m12,-.55319071
Picardie,2017m1,-.35023579
Picardie,2017m2,-.44169185
Picardie,2017m3,-.75034136
