date,swb_learn
2008m1,-2.516927
2008m2,-1.359425
2008m3,-.4320905
2008m4,.3555438
2008m5,.6899858
2008m6,.699883
2008m7,.4681526
2008m8,.22124
2008m9,-.0664
2008m10,-.3486913
2008m11,-.6414618
2008m12,-1.074567
2009m1,-1.336972
2009m2,-1.01489
2009m3,-.4340824
2009m4,.2646855
2009m5,.811914
2009m6,.7915109
2009m7,.6467723
2009m8,.9252353
2009m9,1.285858
2009m10,1.383932
2009m11,1.300667
2009m12,.9724233
2010m1,.8589842
2010m2,1.164285
2010m3,1.841004
2010m4,2.518661
2010m5,2.762671
2010m6,2.397023
2010m7,1.850043
2010m8,1.551286
2010m9,1.472621
2010m10,1.227095
2010m11,.6772943
2010m12,.1316438
2011m1,-.4196754
2011m2,-.2629054
2011m3,.2537994
2011m4,.9319974
2011m5,1.48215
2011m6,1.732196
2011m7,1.638664
2011m8,1.202928
2011m9,1.01695
2011m10,.6865249
2011m11,.2146868
2011m12,.0153856
2012m1,-.0348643
2012m2,.1811473
2012m3,.6887302
2012m4,1.083946
2012m5,1.286588
2012m6,1.259917
2012m7,1.169846
2012m8,1.150432
2012m9,1.091613
2012m10,.8843534
2012m11,.5952878
2012m12,.321763
2013m1,.0351341
2013m2,.0901814
2013m3,.4575917
2013m4,.8373245
2013m5,1.046553
2013m6,1.004401
2013m7,.950834
2013m8,1.062558
2013m9,.9690577
2013m10,.7919702
2013m11,.550915
2013m12,.2478033
2014m1,-.0636653
2014m2,-.23604
2014m3,-.0638233
2014m4,.5054572
2014m5,1.280444
2014m6,1.702419
2014m7,1.868864
2014m8,1.797796
2014m9,1.527629
2014m10,1.022387
2014m11,.4676796
2014m12,.1469966
2015m1,-.0247056
2015m2,.2243761
2015m3,.7577915
2015m4,1.254862
2015m5,1.612502
2015m6,1.637218
2015m7,1.413903
2015m8,1.275605
2015m9,1.051715
2015m10,.7449619
2015m11,.3271738
2015m12,-.1373316
2016m1,-.3459524
2016m2,.0044897
2016m3,.9427041
2016m4,2.138857
