date,swb_learn
2011m1,-1.097234
2011m2,-.4708038
2011m3,-.1433103
2011m4,-.0809053
2011m5,.1145507
2011m6,.2945266
2011m7,.0750239
2011m8,-.0557231
2011m9,-.2380108
2011m10,-.4490656
2011m11,-.6384853
2011m12,-.7447929
2012m1,-.5426872
2012m2,-.2334871
2012m3,.0321583
2012m4,.1343257
2012m5,.2774184
2012m6,.3066743
2012m7,.4070063
2012m8,.3534939
2012m9,.2959733
2012m10,.0550469
2012m11,-.1712207
2012m12,-.595592
2013m1,-.9110807
2013m2,-.9162464
2013m3,-.6100568
2013m4,-.4212111
2013m5,-.391844
2013m6,-.6079926
2013m7,-1.001111
2013m8,-1.304919
2013m9,-1.400033
2013m10,-1.540553
2013m11,-1.876661
2013m12,-1.772535
2014m1,-1.20983
2014m2,-.8891878
2014m3,-.8109756
2014m4,-.8313363
2014m5,-.7975273
2014m6,-.7935652
2014m7,-.854766
2014m8,-1.168191
2014m9,-1.737005
2014m10,-2.28677
2014m11,-2.543828
2014m12,-2.314137
2015m1,-2.104856
2015m2,-2.079357
2015m3,-1.826658
2015m4,-1.698401
2015m5,-1.733272
2015m6,-1.822466
2015m7,-1.914255
2015m8,-1.859977
2015m9,-1.640399
2015m10,-1.884019
2015m11,-2.323555
2015m12,-2.635135
2016m1,-2.412426
2016m2,-2.098853
2016m3,-1.605573
2016m4,-1.207807
