date,swb_sadness
2011m1,-.2125987
2011m2,-.3793557
2011m3,-.2809931
2011m4,-.3824801
2011m5,-.4175991
2011m6,-.7953963
2011m7,-.7831351
2011m8,-.394821
2011m9,-.2462519
2011m10,-.1330055
2011m11,.2386268
2011m12,.2226277
2012m1,-.1697573
2012m2,-.6302232
2012m3,-.8791253
2012m4,-1.156318
2012m5,-1.355697
2012m6,-1.306112
2012m7,-1.009595
2012m8,-.5995074
2012m9,-.3414991
2012m10,-.031631
2012m11,.3119037
2012m12,.7731751
2013m1,.7722736
2013m2,.4545892
2013m3,-.0133738
2013m4,-.0983203
2013m5,-.0801651
2013m6,-.3080389
2013m7,-.2832433
2013m8,.1183384
2013m9,.4721231
2013m10,.688088
2013m11,.8387245
2013m12,.8853744
2014m1,.7220517
2014m2,.4639772
2014m3,.0492831
2014m4,-.3391799
2014m5,-.5366021
2014m6,-.6038468
2014m7,-.5156997
2014m8,-.0017773
2014m9,.4499834
2014m10,.6870911
2014m11,.8346772
2014m12,.8328375
2015m1,.567231
2015m2,.1435489
2015m3,-.1141746
2015m4,.0558974
2015m5,.0150389
2015m6,-.4503968
2015m7,-.8811728
2015m8,-.8619241
2015m9,-.9799486
2015m10,-1.136867
2015m11,-.9931947
2015m12,-1.089064
2016m1,-1.56626
2016m2,-2.097932
2016m3,-2.400994
2016m4,-2.966185
