date,cat_civic_engagement
2011m1,.4255811
2011m2,.8968973
2011m3,1.195857
2011m4,1.176719
2011m5,.601887
2011m6,.0541719
2011m7,-.0353631
2011m8,.3013767
2011m9,.8532836
2011m10,1.140982
2011m11,1.012261
2011m12,.6268433
2012m1,.3572914
2012m2,.4146378
2012m3,.5725875
2012m4,.6113178
2012m5,.3076762
2012m6,-.0812882
2012m7,-.0821808
2012m8,.2907233
2012m9,.8190616
2012m10,.9581536
2012m11,.6610253
2012m12,.0247541
2013m1,-.2149975
2013m2,-.0201143
2013m3,.2007389
2013m4,.2711858
2013m5,-.1295515
2013m6,-.6102066
2013m7,-.8813111
2013m8,-.7574346
2013m9,-.2732472
2013m10,.1437817
2013m11,.1140168
2013m12,-.2765698
2014m1,-.566763
2014m2,-.5571798
2014m3,-.4638532
2014m4,-.5169159
2014m5,-.951134
2014m6,-1.28331
2014m7,-1.260144
2014m8,-.8510182
2014m9,-.1984432
2014m10,.0836866
2014m11,.0951627
2014m12,.1250041
2015m1,.3689622
2015m2,.6846537
2015m3,.7653486
2015m4,.6532213
2015m5,.2083045
2015m6,-.1371908
2015m7,-.0370632
2015m8,.5108287
2015m9,1.109401
2015m10,.7123947
2015m11,-.3301213
2015m12,-1.381364
2016m1,-1.845534
2016m2,-1.979946
2016m3,-1.883164
2016m4,-1.744371
