date,cat_summer_leisure
2008m1,-.8353149
2008m2,-.5101908
2008m3,-.0121864
2008m4,.6018796
2008m5,1.101256
2008m6,1.371269
2008m7,1.254829
2008m8,.6911798
2008m9,-.0628053
2008m10,-.6844191
2008m11,-1.05446
2008m12,-1.144139
2009m1,-.9890671
2009m2,-.6533883
2009m3,-.1662075
2009m4,.3678589
2009m5,.8452471
2009m6,1.099988
2009m7,1.053794
2009m8,.6947926
2009m9,.1684799
2009m10,-.2415438
2009m11,-.5477731
2009m12,-.6272683
2010m1,-.4142401
2010m2,.0378528
2010m3,.7344436
2010m4,1.530702
2010m5,2.215405
2010m6,2.497015
2010m7,2.157412
2010m8,1.314412
2010m9,.3151786
2010m10,-.431958
2010m11,-.8582931
2010m12,-.9945226
2011m1,-.902921
2011m2,-.5817525
2011m3,-.0452666
2011m4,.5791799
2011m5,1.117572
2011m6,1.415935
2011m7,1.282473
2011m8,.6346583
2011m9,-.1332098
2011m10,-.7460198
2011m11,-1.120272
2011m12,-1.211072
2012m1,-1.010285
2012m2,-.5983446
2012m3,-.0498606
2012m4,.4931679
2012m5,.9051316
2012m6,1.162827
2012m7,1.115245
2012m8,.6511718
2012m9,-.0462433
2012m10,-.7078995
2012m11,-1.132762
2012m12,-1.2573
2013m1,-1.112754
2013m2,-.8029716
2013m3,-.2860276
2013m4,.2840626
2013m5,.7030212
2013m6,.9297384
2013m7,.8387159
2013m8,.4281715
2013m9,-.1403205
2013m10,-.6364188
2013m11,-1.038269
2013m12,-1.224002
2014m1,-1.165244
2014m2,-.9292184
2014m3,-.4832457
2014m4,.0966998
2014m5,.6478419
2014m6,1.051571
2014m7,1.010926
2014m8,.5384673
2014m9,-.1695857
2014m10,-.7860547
2014m11,-1.181498
2014m12,-1.327859
2015m1,-1.246634
2015m2,-.9617583
2015m3,-.4477933
2015m4,.2188869
2015m5,.7547649
2015m6,1.072416
2015m7,1.06868
2015m8,.6915348
2015m9,.0106643
2015m10,-.6276546
2015m11,-1.065338
2015m12,-1.239846
2016m1,-1.171897
2016m2,-.9326005
2016m3,-.6233181
2016m4,-.3852233
