date,cat_summer_leisure
2011m1,-.9053183
2011m2,-.2031401
2011m3,.516026
2011m4,1.114634
2011m5,1.557858
2011m6,1.712616
2011m7,1.376437
2011m8,.7284423
2011m9,.0370361
2011m10,-.5552021
2011m11,-1.002941
2011m12,-1.089976
2012m1,-.7594607
2012m2,-.2586985
2012m3,.3905336
2012m4,1.015618
2012m5,1.465719
2012m6,1.57616
2012m7,1.145542
2012m8,.4258434
2012m9,-.3077932
2012m10,-.904956
2012m11,-1.203602
2012m12,-1.221522
2013m1,-.920678
2013m2,-.4654278
2013m3,.0848928
2013m4,.5694064
2013m5,.9428065
2013m6,1.111831
2013m7,.8272833
2013m8,.2260899
2013m9,-.4261185
2013m10,-.9439602
2013m11,-1.282176
2013m12,-1.312723
2014m1,-.9837564
2014m2,-.5092262
2014m3,.0476476
2014m4,.6024861
2014m5,1.089802
2014m6,1.288964
2014m7,1.045139
2014m8,.4251737
2014m9,-.3000973
2014m10,-.8678491
2014m11,-1.218453
2014m12,-1.263458
2015m1,-.9871379
2015m2,-.5458899
2015m3,-.0307349
2015m4,.4790214
2015m5,.9287585
2015m6,1.156742
2015m7,.9353549
2015m8,.3498572
2015m9,-.3314642
2015m10,-.8936267
2015m11,-1.278638
2015m12,-1.328211
2016m1,-1.049743
2016m2,-.5702864
2016m3,.0203997
2016m4,.7281444
