date,cat_health_worries
2011m1,1.605449
2011m2,1.555126
2011m3,1.329502
2011m4,1.380357
2011m5,1.605725
2011m6,1.474542
2011m7,1.144788
2011m8,1.172735
2011m9,1.565452
2011m10,1.670542
2011m11,1.352396
2011m12,.9464501
2012m1,.8022801
2012m2,.4892662
2012m3,.1392176
2012m4,.1888437
2012m5,.3887406
2012m6,.410786
2012m7,.292493
2012m8,.4194008
2012m9,.7084765
2012m10,.6212023
2012m11,.1593536
2012m12,-.2261401
2013m1,-.1378035
2013m2,.1478252
2013m3,.2496111
2013m4,.14346
2013m5,.0278484
2013m6,-.0593294
2013m7,-.2770111
2013m8,-.3019335
2013m9,-.3566059
2013m10,-.6665274
2013m11,-.9443445
2013m12,-1.017907
2014m1,-.9283904
2014m2,-.8945164
2014m3,-.9870456
2014m4,-1.084801
2014m5,-1.046553
2014m6,-.7225354
2014m7,-.3962969
2014m8,-.1067671
2014m9,.05745
2014m10,-.2580371
2014m11,-.6374285
2014m12,-.5826101
2015m1,-.2810829
2015m2,.0309955
2015m3,.1406144
2015m4,-.2390569
2015m5,-.8550663
2015m6,-1.090343
2015m7,-.9899526
2015m8,-.8554945
2015m9,-.7745491
2015m10,-.6831241
2015m11,-.7594114
2015m12,-.9409151
2016m1,-1.001605
2016m2,-1.08998
2016m3,-.8596014
2016m4,-.1681644
