date,swb_anger
2011m1,-1.0239
2011m2,-1.145198
2011m3,-1.279356
2011m4,-1.273243
2011m5,-.9829475
2011m6,-.7521394
2011m7,-.3934814
2011m8,.0587403
2011m9,.0478351
2011m10,-.3012564
2011m11,-.5969648
2011m12,-.7790838
2012m1,-.8216771
2012m2,-.8677282
2012m3,-.7380794
2012m4,-.7390382
2012m5,-.7460497
2012m6,-.7474139
2012m7,-.4961056
2012m8,.0335276
2012m9,.1383151
2012m10,-.1651891
2012m11,-.6241803
2012m12,-.7535315
2013m1,-.7092682
2013m2,-.7427809
2013m3,-.7949288
2013m4,-.7779461
2013m5,-.6714817
2013m6,-.6104431
2013m7,-.360064
2013m8,-.0139814
2013m9,.0071443
2013m10,-.1557448
2013m11,-.3761765
2013m12,-.4009674
2014m1,-.273551
2014m2,-.1684168
2014m3,-.1472197
2014m4,-.2419661
2014m5,-.2414661
2014m6,-.2436748
2014m7,.0043681
2014m8,.4958375
2014m9,.6781746
2014m10,.5149439
2014m11,.2879336
2014m12,.1762315
2015m1,.0359177
2015m2,-.0500389
2015m3,-.0338136
2015m4,.0032014
2015m5,.0160515
2015m6,.0045098
2015m7,.1859583
2015m8,.5738503
2015m9,.7510025
2015m10,.931362
2015m11,1.403471
2015m12,2.019015
2016m1,2.451213
2016m2,2.598877
2016m3,2.586707
2016m4,2.516661
