date,cat_layoffs
2011m1,1.079859
2011m2,1.109249
2011m3,1.214033
2011m4,1.204667
2011m5,1.021246
2011m6,.8650754
2011m7,.7381841
2011m8,.6269147
2011m9,.559758
2011m10,.4796572
2011m11,.4396767
2011m12,.4866778
2012m1,.7509395
2012m2,.7782803
2012m3,.600632
2012m4,.3806075
2012m5,.2955733
2012m6,.2281837
2012m7,.2967339
2012m8,.5329662
2012m9,1.011527
2012m10,1.400495
2012m11,1.428192
2012m12,1.102799
2013m1,.918627
2013m2,.7472975
2013m3,.5705799
2013m4,.3697654
2013m5,.3089308
2013m6,.289611
2013m7,.2247531
2013m8,.2131632
2013m9,.3155403
2013m10,.3674892
2013m11,.2350289
2013m12,.2475641
2014m1,.3863408
2014m2,.3559725
2014m3,.146532
2014m4,-.1859905
2014m5,-.576627
2014m6,-.9133813
2014m7,-1.254725
2014m8,-1.4828
2014m9,-1.549448
2014m10,-1.613695
2014m11,-1.708827
2014m12,-1.779123
2015m1,-1.805072
2015m2,-1.873317
2015m3,-1.89189
2015m4,-1.833251
2015m5,-1.695517
2015m6,-1.284451
2015m7,-.6188191
2015m8,-.2946379
2015m9,-.0282326
2015m10,.0134148
2015m11,-.0726181
2015m12,-.1858312
2016m1,-.207459
2016m2,-.2313733
2016m3,-.4168843
2016m4,-.8385677
