date,cat_summer_leisure
2011m1,-.6890376
2011m2,-.3542325
2011m3,.0884862
2011m4,.6748179
2011m5,1.279927
2011m6,1.634756
2011m7,1.474602
2011m8,.7015892
2011m9,-.1239607
2011m10,-.7267581
2011m11,-1.043254
2011m12,-1.030161
2012m1,-.7854589
2012m2,-.3759677
2012m3,.2265813
2012m4,.8935056
2012m5,1.51018
2012m6,1.770872
2012m7,1.439092
2012m8,.644685
2012m9,-.1951979
2012m10,-.8167448
2012m11,-1.105917
2012m12,-1.095706
2013m1,-.8573252
2013m2,-.5526138
2013m3,-.1497576
2013m4,.3541583
2013m5,.8478411
2013m6,1.185473
2013m7,1.029886
2013m8,.3873765
2013m9,-.3137998
2013m10,-.8397002
2013m11,-1.159881
2013m12,-1.220244
2014m1,-1.062799
2014m2,-.7744036
2014m3,-.3103203
2014m4,.3064445
2014m5,.9285132
2014m6,1.306411
2014m7,1.15685
2014m8,.5168589
2014m9,-.2405003
2014m10,-.7982953
2014m11,-1.086429
2014m12,-1.082894
2015m1,-.8789016
2015m2,-.5650448
2015m3,-.0744951
2015m4,.4932493
2015m5,1.059815
2015m6,1.383419
2015m7,1.189598
2015m8,.5208063
2015m9,-.2354846
2015m10,-.8181871
2015m11,-1.148847
2015m12,-1.16639
2016m1,-.9376395
2016m2,-.5962341
2016m3,-.1503367
2016m4,.357126
