date,swb_respect
2008m1,-1.695902
2008m2,-1.071595
2008m3,-.4240614
2008m4,.0511354
2008m5,.0930661
2008m6,-.0889546
2008m7,.0267223
2008m8,.2837577
2008m9,.5845428
2008m10,.6509351
2008m11,.5847875
2008m12,.4377088
2009m1,.3080676
2009m2,.0689239
2009m3,-.2550865
2009m4,-.2664447
2009m5,-.2341395
2009m6,-.176578
2009m7,-.1064984
2009m8,.052753
2009m9,.4228608
2009m10,.8591633
2009m11,1.326875
2009m12,1.555259
2010m1,1.751072
2010m2,1.598325
2010m3,1.711679
2010m4,1.770979
2010m5,1.687278
2010m6,1.782555
2010m7,1.639789
2010m8,1.529601
2010m9,1.563937
2010m10,1.571347
2010m11,1.768506
2010m12,2.089092
2011m1,2.531215
2011m2,2.514459
2011m3,2.06907
2011m4,1.701519
2011m5,1.790819
2011m6,1.911869
2011m7,1.808932
2011m8,1.751089
2011m9,1.907454
2011m10,1.710126
2011m11,1.788965
2011m12,2.054971
2012m1,2.380654
2012m2,2.51346
2012m3,2.463147
2012m4,2.190356
2012m5,1.983158
2012m6,1.845492
2012m7,1.574172
2012m8,1.491584
2012m9,1.568109
2012m10,1.556516
2012m11,1.363665
2012m12,1.048917
2013m1,1.440331
2013m2,1.89489
2013m3,1.908287
2013m4,1.66469
2013m5,1.579933
2013m6,1.532269
2013m7,1.428709
2013m8,1.36892
2013m9,1.307096
2013m10,1.279953
2013m11,1.428636
2013m12,1.818102
2014m1,2.265341
2014m2,2.29989
2014m3,1.93707
2014m4,1.585223
2014m5,1.445686
2014m6,1.304289
2014m7,1.015221
2014m8,.7646908
2014m9,.9487653
2014m10,1.124722
2014m11,1.317669
2014m12,1.467542
2015m1,1.745484
2015m2,1.725532
2015m3,1.493479
2015m4,1.212141
2015m5,1.005409
2015m6,.8752042
2015m7,.7572874
2015m8,.366891
2015m9,.0075983
2015m10,-.1874992
2015m11,-.0784758
2015m12,.3432978
2016m1,.8932695
2016m2,1.088468
2016m3,.7243575
2016m4,.419295
