region,date,juifs
Languedoc-Roussillon,2013m1,.2957339
Languedoc-Roussillon,2013m2,-.2529549
Languedoc-Roussillon,2013m3,.61405051
Languedoc-Roussillon,2013m4,.19654384
Languedoc-Roussillon,2013m5,-.59774238
Languedoc-Roussillon,2013m6,.03026668
Languedoc-Roussillon,2013m7,-.25784197
Languedoc-Roussillon,2013m8,-.32341078
Languedoc-Roussillon,2013m9,-.34545258
Languedoc-Roussillon,2013m10,-.63813889
Languedoc-Roussillon,2013m11,.20724317
Languedoc-Roussillon,2013m12,1.6878281
Languedoc-Roussillon,2014m1,2.9822707
Languedoc-Roussillon,2014m2,-.16332793
Languedoc-Roussillon,2014m3,-.19379877
Languedoc-Roussillon,2014m4,.056807749
Languedoc-Roussillon,2014m5,.17558055
Languedoc-Roussillon,2014m6,.25399908
Languedoc-Roussillon,2014m7,1.2014016
Languedoc-Roussillon,2014m8,-.25948429
Languedoc-Roussillon,2014m9,.19291176
Languedoc-Roussillon,2014m10,-.1523979
Languedoc-Roussillon,2014m11,-.20444684
Languedoc-Roussillon,2014m12,.18509635
Languedoc-Roussillon,2015m1,1.6089503
Languedoc-Roussillon,2015m2,.87894934
Languedoc-Roussillon,2015m3,.45489553
Languedoc-Roussillon,2015m4,-.34664726
Languedoc-Roussillon,2015m5,-.40463257
Languedoc-Roussillon,2015m6,-.40341583
Languedoc-Roussillon,2015m7,-.23304069
Languedoc-Roussillon,2015m8,.25062764
Languedoc-Roussillon,2015m9,-.33095384
Languedoc-Roussillon,2015m10,-.066510469
Languedoc-Roussillon,2015m11,.043266673
Languedoc-Roussillon,2015m12,.0032980293
Languedoc-Roussillon,2016m1,.063057631
Languedoc-Roussillon,2016m2,-.21649575
Languedoc-Roussillon,2016m3,-.41962886
Languedoc-Roussillon,2016m4,-.074103162
Languedoc-Roussillon,2016m5,-.37485752
Languedoc-Roussillon,2016m6,-.05115319
Languedoc-Roussillon,2016m7,-.75796926
Languedoc-Roussillon,2016m8,-.89013922
Languedoc-Roussillon,2016m9,-.88854861
Languedoc-Roussillon,2016m10,-.54346651
Languedoc-Roussillon,2016m11,-.48586836
Languedoc-Roussillon,2016m12,-.55967325
Languedoc-Roussillon,2017m1,-.36437696
Languedoc-Roussillon,2017m2,-.39821124
Languedoc-Roussillon,2017m3,-.19506523
