region,date,immigration
Pays de la Loire,2013m1,-.83153576
Pays de la Loire,2013m2,-.43441734
Pays de la Loire,2013m3,-.56223679
Pays de la Loire,2013m4,-.32215789
Pays de la Loire,2013m5,-.7187717
Pays de la Loire,2013m6,-.59230286
Pays de la Loire,2013m7,-.80512583
Pays de la Loire,2013m8,-.58779615
Pays de la Loire,2013m9,-.66763246
Pays de la Loire,2013m10,-.25648248
Pays de la Loire,2013m11,.0095293727
Pays de la Loire,2013m12,-.63338947
Pays de la Loire,2014m1,-.17702007
Pays de la Loire,2014m2,-.33956054
Pays de la Loire,2014m3,-.65284812
Pays de la Loire,2014m4,-.46195656
Pays de la Loire,2014m5,-.56156909
Pays de la Loire,2014m6,-.91357589
Pays de la Loire,2014m7,-.72967833
Pays de la Loire,2014m8,-.5188086
Pays de la Loire,2014m9,-.24883464
Pays de la Loire,2014m10,-.13615954
Pays de la Loire,2014m11,.17239986
Pays de la Loire,2014m12,-.51604921
Pays de la Loire,2015m1,-.36202848
Pays de la Loire,2015m2,-.46792558
Pays de la Loire,2015m3,-.73341846
Pays de la Loire,2015m4,-.22174628
Pays de la Loire,2015m5,-.23771545
Pays de la Loire,2015m6,-.56474197
Pays de la Loire,2015m7,-.7114225
Pays de la Loire,2015m8,.55671346
Pays de la Loire,2015m9,4.2661757
Pays de la Loire,2015m10,1.2882812
Pays de la Loire,2015m11,1.0594413
Pays de la Loire,2015m12,-.04718817
Pays de la Loire,2016m1,.75612485
Pays de la Loire,2016m2,.90681422
Pays de la Loire,2016m3,.44950134
Pays de la Loire,2016m4,.21610044
Pays de la Loire,2016m5,.27744976
Pays de la Loire,2016m6,-.4372732
Pays de la Loire,2016m7,-.19468604
Pays de la Loire,2016m8,-.48785603
Pays de la Loire,2016m9,.72795051
Pays de la Loire,2016m10,2.2198687
Pays de la Loire,2016m11,1.299369
Pays de la Loire,2016m12,.13260828
Pays de la Loire,2017m1,.83550233
Pays de la Loire,2017m2,.23990652
Pays de la Loire,2017m3,.93913853
