date,cat_education
2011m1,1.090666
2011m2,.9445877
2011m3,.6916512
2011m4,.3019042
2011m5,-.3365611
2011m6,-.8975143
2011m7,-.9026107
2011m8,-.0854238
2011m9,.7713125
2011m10,.9814631
2011m11,.6809536
2011m12,.2661794
2012m1,.2957954
2012m2,.4097572
2012m3,.3198416
2012m4,.0383051
2012m5,-.5426352
2012m6,-1.115519
2012m7,-1.138191
2012m8,-.5200866
2012m9,.1022005
2012m10,.1632026
2012m11,-.0531394
2012m12,-.2677755
2013m1,-.1147532
2013m2,.1197932
2013m3,.0822514
2013m4,-.1426824
2013m5,-.7065127
2013m6,-1.3065
2013m7,-1.175879
2013m8,-.37998
2013m9,.3850208
2013m10,.5638402
2013m11,.2340854
2013m12,-.1355413
2014m1,-.0589843
2014m2,.0239825
2014m3,-.1128508
2014m4,-.3835809
2014m5,-.9573918
2014m6,-1.478993
2014m7,-1.390719
2014m8,-.6138316
2014m9,.2016692
2014m10,.4066691
2014m11,.2274595
2014m12,.1143955
2015m1,.3631428
2015m2,.6377456
2015m3,.7048964
2015m4,.4245888
2015m5,-.3417785
2015m6,-1.072701
2015m7,-.9766921
2015m8,-.0155769
2015m9,.889447
2015m10,1.072308
2015m11,.710847
2015m12,.3882975
2016m1,.5445148
2016m2,.7044736
2016m3,.6869973
2016m4,.68016
