region,date,immigration
Midi-Pyrenees,2013m1,-.16382192
Midi-Pyrenees,2013m2,-.24091269
Midi-Pyrenees,2013m3,-.68071526
Midi-Pyrenees,2013m4,-.47958609
Midi-Pyrenees,2013m5,-.35289627
Midi-Pyrenees,2013m6,-.43059501
Midi-Pyrenees,2013m7,-.39244637
Midi-Pyrenees,2013m8,-.26299685
Midi-Pyrenees,2013m9,-.64333457
Midi-Pyrenees,2013m10,-.164893
Midi-Pyrenees,2013m11,-.33670902
Midi-Pyrenees,2013m12,-.4852272
Midi-Pyrenees,2014m1,-.2212678
Midi-Pyrenees,2014m2,-.50572717
Midi-Pyrenees,2014m3,-.66132718
Midi-Pyrenees,2014m4,-.59082121
Midi-Pyrenees,2014m5,-.68258846
Midi-Pyrenees,2014m6,-.37677005
Midi-Pyrenees,2014m7,-.35557359
Midi-Pyrenees,2014m8,-.46533939
Midi-Pyrenees,2014m9,-.65668774
Midi-Pyrenees,2014m10,-.55980545
Midi-Pyrenees,2014m11,-.63780075
Midi-Pyrenees,2014m12,-.5902378
Midi-Pyrenees,2015m1,-.52464712
Midi-Pyrenees,2015m2,-.2669166
Midi-Pyrenees,2015m3,-.33223879
Midi-Pyrenees,2015m4,-.21607134
Midi-Pyrenees,2015m5,-.54555219
Midi-Pyrenees,2015m6,-.1978133
Midi-Pyrenees,2015m7,-.11761102
Midi-Pyrenees,2015m8,1.2905184
Midi-Pyrenees,2015m9,4.7120419
Midi-Pyrenees,2015m10,.67171496
Midi-Pyrenees,2015m11,.78841144
Midi-Pyrenees,2015m12,.28019804
Midi-Pyrenees,2016m1,.57909346
Midi-Pyrenees,2016m2,.58471566
Midi-Pyrenees,2016m3,.27818418
Midi-Pyrenees,2016m4,-.042731978
Midi-Pyrenees,2016m5,-.18441135
Midi-Pyrenees,2016m6,-.095368929
Midi-Pyrenees,2016m7,.041764207
Midi-Pyrenees,2016m8,.19006109
Midi-Pyrenees,2016m9,.23406839
Midi-Pyrenees,2016m10,2.244303
Midi-Pyrenees,2016m11,.97237718
Midi-Pyrenees,2016m12,.2818532
Midi-Pyrenees,2017m1,.53103501
Midi-Pyrenees,2017m2,-.17338975
Midi-Pyrenees,2017m3,-.18883131
