date,cat_financial_security
2008m1,.5048853
2008m2,.0438727
2008m3,-.2979354
2008m4,-.5343171
2008m5,-.7333108
2008m6,-.6754221
2008m7,-.4696343
2008m8,-.1402072
2008m9,.4250111
2008m10,.67924
2008m11,.2691086
2008m12,-.1248915
2009m1,-.1992472
2009m2,-.1834452
2009m3,-.166938
2009m4,-.2646777
2009m5,-.1842387
2009m6,-.1664081
2009m7,-.1250933
2009m8,-.0633338
2009m9,-.1355917
2009m10,-.0018143
2009m11,.0368108
2009m12,.4568174
2010m1,1.173882
2010m2,1.685283
2010m3,2.139579
2010m4,2.237365
2010m5,2.202025
2010m6,2.203013
2010m7,2.063546
2010m8,1.738978
2010m9,1.388715
2010m10,1.222843
2010m11,1.069303
2010m12,1.014464
2011m1,.7159294
2011m2,.3867997
2011m3,.059728
2011m4,-.261491
2011m5,-.3283046
2011m6,.0283548
2011m7,.3093913
2011m8,.2044015
2011m9,-.2045784
2011m10,-.5110996
2011m11,-.7355713
2011m12,-.5240091
2012m1,-.1934543
2012m2,-.2646526
2012m3,-.5671446
2012m4,-.8335887
2012m5,-1.025031
2012m6,-.9479612
2012m7,-.8482264
2012m8,-.8503086
2012m9,-.9991857
2012m10,-1.25283
2012m11,-1.641819
2012m12,-1.464343
2013m1,-.7292947
2013m2,-.4779776
2013m3,-.6520147
2013m4,-.8228617
2013m5,-.9748939
2013m6,-1.066324
2013m7,-.9247669
2013m8,-.5606015
2013m9,-.2396238
2013m10,-.0643802
2013m11,-.3505195
2013m12,-.5219519
2014m1,-.4208732
2014m2,-.3315757
2014m3,-.3284256
2014m4,-.4726337
2014m5,-.4340052
2014m6,-.2240289
2014m7,-.2900442
2014m8,-.5594656
2014m9,-.6654757
2014m10,-.5969934
2014m11,-.5073107
2014m12,-.1359446
2015m1,.3920049
2015m2,.5438229
2015m3,.4681807
2015m4,.4873136
2015m5,.6790996
2015m6,1.018688
2015m7,.9515474
2015m8,.45913
2015m9,-.2542986
2015m10,-.5642878
2015m11,-.6681349
2015m12,-.3986012
2016m1,.1734293
2016m2,.4671655
2016m3,.8540659
2016m4,1.40362
