region,date,recherche_emploi
Limousin,2013m1,.28795964
Limousin,2013m2,.13944286
Limousin,2013m3,.57487893
Limousin,2013m4,-.25477841
Limousin,2013m5,-.022249235
Limousin,2013m6,-.17303827
Limousin,2013m7,-.59451342
Limousin,2013m8,-1.1404756
Limousin,2013m9,.31745514
Limousin,2013m10,.26037657
Limousin,2013m11,-.36232662
Limousin,2013m12,-.29051653
Limousin,2014m1,.82853949
Limousin,2014m2,.43396637
Limousin,2014m3,.7187081
Limousin,2014m4,-.49254751
Limousin,2014m5,.068988733
Limousin,2014m6,-.32142258
Limousin,2014m7,-.68419999
Limousin,2014m8,-.76087403
Limousin,2014m9,.69908506
Limousin,2014m10,.11127958
Limousin,2014m11,-.082448706
Limousin,2014m12,-.55645823
Limousin,2015m1,.46700224
Limousin,2015m2,.33951247
Limousin,2015m3,.16822277
Limousin,2015m4,.048280396
Limousin,2015m5,.13885587
Limousin,2015m6,.24426153
Limousin,2015m7,-.48211649
Limousin,2015m8,-.45471612
Limousin,2015m9,.52534175
Limousin,2015m10,.24291153
Limousin,2015m11,-.045279585
Limousin,2015m12,-.59941542
Limousin,2016m1,.68293113
Limousin,2016m2,.33583543
Limousin,2016m3,.6480245
Limousin,2016m4,-.41246265
Limousin,2016m5,.058005579
Limousin,2016m6,-.43510094
Limousin,2016m7,-.57899296
Limousin,2016m8,-.84634393
Limousin,2016m9,.26235971
Limousin,2016m10,-.092979185
Limousin,2016m11,.34089598
Limousin,2016m12,-.24860404
Limousin,2017m1,.099625438
Limousin,2017m2,.45373744
Limousin,2017m3,1.0355248
