date,cat_health_worries
2011m1,1.789045
2011m2,1.410499
2011m3,.7390313
2011m4,.4500946
2011m5,.7330761
2011m6,1.389879
2011m7,1.619673
2011m8,1.126683
2011m9,.7167259
2011m10,.4043684
2011m11,-.0107842
2011m12,-.4860837
2012m1,-.068344
2012m2,.6908286
2012m3,.944593
2012m4,1.165446
2012m5,1.091635
2012m6,.7476969
2012m7,.2143808
2012m8,-.0927984
2012m9,-.2257401
2012m10,-.1343711
2012m11,-.1979484
2012m12,-.1963354
2013m1,-.0403078
2013m2,.0178151
2013m3,.0074193
2013m4,-.2350426
2013m5,-.4318977
2013m6,-.6251312
2013m7,-.6244276
2013m8,-.5506477
2013m9,-.600444
2013m10,-.6625515
2013m11,-.8092838
2013m12,-.7933675
2014m1,-.5209275
2014m2,-.1451911
2014m3,-.0232197
2014m4,.0184472
2014m5,.1820472
2014m6,.3306617
2014m7,.6250179
2014m8,.6319646
2014m9,.4151904
2014m10,.1017692
2014m11,-.264521
2014m12,-.3562759
2015m1,.2086489
2015m2,.7218718
2015m3,.5695391
2015m4,.1165199
2015m5,-.6554161
2015m6,-1.054629
2015m7,-1.088592
2015m8,-.9744337
2015m9,-.7420252
2015m10,-.657837
2015m11,-.6632096
2015m12,-.6554805
2016m1,-.5936672
2016m2,-.7007924
2016m3,-1.263306
2016m4,-2.035537
