region,date,valeurs_république
Aquitaine,2013m1,-.049444951
Aquitaine,2013m2,.28845179
Aquitaine,2013m3,.13573635
Aquitaine,2013m4,-.15220779
Aquitaine,2013m5,-.62967753
Aquitaine,2013m6,-.44306546
Aquitaine,2013m7,-.54970604
Aquitaine,2013m8,-1.3557956
Aquitaine,2013m9,-.050211713
Aquitaine,2013m10,-.23545375
Aquitaine,2013m11,.016439144
Aquitaine,2013m12,-.10588145
Aquitaine,2014m1,.28165996
Aquitaine,2014m2,.17260818
Aquitaine,2014m3,.90361506
Aquitaine,2014m4,-.055154987
Aquitaine,2014m5,-.35539019
Aquitaine,2014m6,-.493487
Aquitaine,2014m7,-.79677868
Aquitaine,2014m8,-.77936292
Aquitaine,2014m9,.29773039
Aquitaine,2014m10,.34961003
Aquitaine,2014m11,.34023046
Aquitaine,2014m12,-.056359794
Aquitaine,2015m1,1.0142323
Aquitaine,2015m2,.2075559
Aquitaine,2015m3,.31868678
Aquitaine,2015m4,.053336114
Aquitaine,2015m5,.13438934
Aquitaine,2015m6,-.20133236
Aquitaine,2015m7,-.5939784
Aquitaine,2015m8,-.59588128
Aquitaine,2015m9,.2175173
Aquitaine,2015m10,.25783411
Aquitaine,2015m11,1.2366006
Aquitaine,2015m12,.48359165
Aquitaine,2016m1,.62730235
Aquitaine,2016m2,.069775596
Aquitaine,2016m3,.66529149
Aquitaine,2016m4,-.094061255
Aquitaine,2016m5,-.10302579
Aquitaine,2016m6,-.61607385
Aquitaine,2016m7,-.75144458
Aquitaine,2016m8,-.69540513
Aquitaine,2016m9,.49160066
Aquitaine,2016m10,.056517519
Aquitaine,2016m11,.029249741
Aquitaine,2016m12,.29703015
Aquitaine,2017m1,.19268551
Aquitaine,2017m2,.1954211
Aquitaine,2017m3,.51253766
