date,swb_learn
2008m1,.0119331
2008m2,.1162414
2008m3,.5168043
2008m4,1.177184
2008m5,2.072614
2008m6,2.443289
2008m7,2.143012
2008m8,1.49676
2008m9,.8192464
2008m10,.5431868
2008m11,.4359417
2008m12,.1134986
2009m1,-.1200336
2009m2,-.0815799
2009m3,.2889499
2009m4,.9684702
2009m5,1.700677
2009m6,2.230573
2009m7,2.304246
2009m8,1.934874
2009m9,1.249077
2009m10,.9578728
2009m11,1.257768
2009m12,1.583684
2010m1,2.104326
2010m2,2.630281
2010m3,3.138623
2010m4,3.4452
2010m5,3.664557
2010m6,3.829494
2010m7,3.662943
2010m8,3.139479
2010m9,2.36582
2010m10,1.707214
2010m11,1.092324
2010m12,.8653847
2011m1,.8949915
2011m2,1.058458
2011m3,1.527872
2011m4,2.056412
2011m5,2.337253
2011m6,2.524883
2011m7,2.265083
2011m8,2.226784
2011m9,2.074299
2011m10,1.912314
2011m11,1.865768
2011m12,1.726048
2012m1,1.466244
2012m2,1.369598
2012m3,1.71985
2012m4,2.099013
2012m5,2.513221
2012m6,2.762652
2012m7,2.636889
2012m8,1.996015
2012m9,1.066064
2012m10,.505261
2012m11,.8032314
2012m12,.8892211
2013m1,.8801445
2013m2,.8419731
2013m3,1.15555
2013m4,1.608245
2013m5,1.811544
2013m6,1.859748
2013m7,1.68819
2013m8,1.437441
2013m9,1.178938
2013m10,1.182133
2013m11,1.306121
2013m12,1.519081
2014m1,1.469141
2014m2,1.352669
2014m3,1.315857
2014m4,1.36672
2014m5,1.629873
2014m6,2.003439
2014m7,2.257499
2014m8,2.13828
2014m9,1.762859
2014m10,1.162958
2014m11,.8081709
2014m12,.7442114
2015m1,.7979624
2015m2,.7858458
2015m3,1.191723
2015m4,1.75167
2015m5,2.051341
2015m6,2.099913
2015m7,1.937717
2015m8,1.608145
2015m9,1.346859
2015m10,1.274395
2015m11,1.303315
2015m12,1.139765
2016m1,.8626035
2016m2,.6061267
2016m3,1.067844
2016m4,1.804878
