date,swb_worry
2011m1,-.146804
2011m2,-.5253685
2011m3,-.9800485
2011m4,-1.256474
2011m5,-1.259792
2011m6,-.9423344
2011m7,-.4937616
2011m8,-.2313357
2011m9,-.220728
2011m10,-.4078819
2011m11,-.69611
2011m12,-.7121928
2012m1,-.516513
2012m2,-.5727913
2012m3,-.8401855
2012m4,-1.137737
2012m5,-1.453822
2012m6,-1.767897
2012m7,-1.691662
2012m8,-1.253053
2012m9,-.8132719
2012m10,-.5413511
2012m11,-.7790368
2012m12,-1.43175
2013m1,-1.928368
2013m2,-2.267195
2013m3,-2.364028
2013m4,-2.237692
2013m5,-1.909035
2013m6,-1.750205
2013m7,-1.691812
2013m8,-1.759665
2013m9,-2.16166
2013m10,-2.509783
2013m11,-2.73208
2013m12,-2.521616
2014m1,-2.124922
2014m2,-2.075926
2014m3,-2.180256
2014m4,-2.287911
2014m5,-2.50949
2014m6,-2.5151
2014m7,-2.458529
2014m8,-2.330231
2014m9,-2.18312
2014m10,-2.030456
2014m11,-2.302145
2014m12,-2.683576
2015m1,-2.825405
2015m2,-3.062752
2015m3,-3.224121
2015m4,-3.408975
2015m5,-3.515982
2015m6,-3.376935
2015m7,-2.869688
2015m8,-2.475252
2015m9,-2.271082
2015m10,-2.268171
2015m11,-2.484903
2015m12,-2.518245
2016m1,-2.439837
2016m2,-2.478338
2016m3,-2.522291
2016m4,-2.647692
