date,cat_healthy_habits
2011m1,1.61867
2011m2,1.012902
2011m3,.6751497
2011m4,.8221051
2011m5,1.080649
2011m6,.8003366
2011m7,.1744654
2011m8,-.5517361
2011m9,-.8792937
2011m10,-1.028057
2011m11,-1.259086
2011m12,-1.230848
2012m1,-.6889028
2012m2,-.4142771
2012m3,-.3120692
2012m4,-.0442044
2012m5,.3590923
2012m6,.8115832
2012m7,.9572796
2012m8,.5561433
2012m9,-.0645273
2012m10,-.6004649
2012m11,-.8867897
2012m12,-.5948272
2013m1,.2741457
2013m2,.6108224
2013m3,.8441409
2013m4,.7351501
2013m5,.3456207
2013m6,.2531703
2013m7,-.0374755
2013m8,-.4798256
2013m9,-.7206171
2013m10,-.7372341
2013m11,-.5078379
2013m12,-.0644814
2014m1,.7028607
2014m2,.9232547
2014m3,.6950894
2014m4,.2530636
2014m5,-.156717
2014m6,-.4252125
2014m7,-.4997419
2014m8,-.8313459
2014m9,-.9882841
2014m10,-.9131334
2014m11,-.6448309
2014m12,-.2007078
2015m1,.4979758
2015m2,.5904985
2015m3,.4265742
2015m4,.1811526
2015m5,-.0933982
2015m6,.041734
2015m7,.0755894
2015m8,-.1214239
2015m9,-.4720038
2015m10,-.8098851
2015m11,-.9186341
2015m12,-.4088752
2016m1,.5517802
2016m2,.8239591
2016m3,.6625608
2016m4,.229229
