region,date,health
Limousin,2013m1,-.2941187602632186
Limousin,2013m2,-.2584886603495654
Limousin,2013m3,-.4115758976515602
Limousin,2013m4,-.2592768717338057
Limousin,2013m5,-.6072086634607438
Limousin,2013m6,-.4866040029069957
Limousin,2013m7,-.4831826307208222
Limousin,2013m8,-.2322938867351588
Limousin,2013m9,.0281692137393881
Limousin,2013m10,-.1629365395535441
Limousin,2013m11,-.2690778887447189
Limousin,2013m12,-.3692146202220636
Limousin,2014m1,.3383782510371769
Limousin,2014m2,.3709849386530764
Limousin,2014m3,.2631567118360716
Limousin,2014m4,-.3673934038071072
Limousin,2014m5,-.2415900212876937
Limousin,2014m6,-.3779922589002287
Limousin,2014m7,.0247572371188332
Limousin,2014m8,-.1348706518902498
Limousin,2014m9,.2131501815336592
Limousin,2014m10,.4439409524202347
Limousin,2014m11,.3908208814613959
Limousin,2014m12,-.2074489021564231
Limousin,2015m1,.167019128361169
Limousin,2015m2,.3929867827716996
Limousin,2015m3,.4031085297465324
Limousin,2015m4,.2063264048055691
Limousin,2015m5,.0830999450648532
Limousin,2015m6,.2002279239104074
Limousin,2015m7,.0530208366758683
Limousin,2015m8,-.1195564506685033
Limousin,2015m9,.8272052749114878
Limousin,2015m10,.4776500932434026
Limousin,2015m11,.6943801843068179
Limousin,2015m12,.2694508165997617
Limousin,2016m1,1.149350586182931
Limousin,2016m2,.9468304580625366
Limousin,2016m3,.6932256826583076
Limousin,2016m4,.9246265412691761
Limousin,2016m5,1.143624570439844
Limousin,2016m6,
