region,date,mal_etre
Rhone-Alpes,2013m1,-1.0034722
Rhone-Alpes,2013m2,-1.2680004
Rhone-Alpes,2013m3,-.5950253
Rhone-Alpes,2013m4,-1.1575971
Rhone-Alpes,2013m5,-1.2779375
Rhone-Alpes,2013m6,-1.2075738
Rhone-Alpes,2013m7,-1.9262862
Rhone-Alpes,2013m8,-1.5430107
Rhone-Alpes,2013m9,-.023405535
Rhone-Alpes,2013m10,-.8120957
Rhone-Alpes,2013m11,-.79250276
Rhone-Alpes,2013m12,-1.1131002
Rhone-Alpes,2014m1,.24779636
Rhone-Alpes,2014m2,.36508653
Rhone-Alpes,2014m3,-.18190229
Rhone-Alpes,2014m4,-.6385538
Rhone-Alpes,2014m5,-.66580832
Rhone-Alpes,2014m6,-.59465849
Rhone-Alpes,2014m7,-1.1258924
Rhone-Alpes,2014m8,-.78921306
Rhone-Alpes,2014m9,.32092485
Rhone-Alpes,2014m10,.87813097
Rhone-Alpes,2014m11,.83792931
Rhone-Alpes,2014m12,-.69546193
Rhone-Alpes,2015m1,.042577639
Rhone-Alpes,2015m2,.68636847
Rhone-Alpes,2015m3,1.5637443
Rhone-Alpes,2015m4,.36916077
Rhone-Alpes,2015m5,.188519
Rhone-Alpes,2015m6,-.032901388
Rhone-Alpes,2015m7,-1.0069275
Rhone-Alpes,2015m8,-.93717396
Rhone-Alpes,2015m9,.22514087
Rhone-Alpes,2015m10,.77335811
Rhone-Alpes,2015m11,.71457672
Rhone-Alpes,2015m12,.10107915
Rhone-Alpes,2016m1,1.4651433
Rhone-Alpes,2016m2,1.0632082
Rhone-Alpes,2016m3,.87776411
Rhone-Alpes,2016m4,1.4713539
Rhone-Alpes,2016m5,1.1885666
Rhone-Alpes,2016m6,-.12288892
Rhone-Alpes,2016m7,-.77817726
Rhone-Alpes,2016m8,-.040927518
Rhone-Alpes,2016m9,1.8438816
Rhone-Alpes,2016m10,1.0432949
Rhone-Alpes,2016m11,.80403948
Rhone-Alpes,2016m12,-.25726289
Rhone-Alpes,2017m1,1.2878901
Rhone-Alpes,2017m2,.76837695
Rhone-Alpes,2017m3,1.3832364
