date,cat_social_progress
2011m1,-.3637706
2011m2,-.3087221
2011m3,-.4325102
2011m4,-.6091941
2011m5,-.900013
2011m6,-1.194388
2011m7,-1.242664
2011m8,-.9783692
2011m9,-.6107163
2011m10,-.5182539
2011m11,-.612829
2011m12,-.7370526
2012m1,-.5351616
2012m2,-.2877181
2012m3,-.190703
2012m4,-.1739608
2012m5,-.4476442
2012m6,-.7981384
2012m7,-.8944275
2012m8,-.6537873
2012m9,-.194233
2012m10,-.1382981
2012m11,-.4975717
2012m12,-.7842551
2013m1,-.6527718
2013m2,-.5247653
2013m3,-.6622352
2013m4,-.8132517
2013m5,-1.043134
2013m6,-1.269047
2013m7,-1.109102
2013m8,-.6748461
2013m9,-.1085415
2013m10,.0887576
2013m11,-.032504
2013m12,-.1634787
2014m1,-.0480547
2014m2,.1616962
2014m3,.239033
2014m4,.2487828
2014m5,-.0470271
2014m6,-.4332206
2014m7,-.5133269
2014m8,-.0640962
2014m9,.7424095
2014m10,1.176049
2014m11,1.145464
2014m12,1.062479
2015m1,1.273504
2015m2,1.608275
2015m3,1.691104
2015m4,1.468015
2015m5,.8731442
2015m6,.2715965
2015m7,.0570909
2015m8,.4405807
2015m9,1.125679
2015m10,1.250918
2015m11,1.028309
2015m12,.7400812
2016m1,.8870772
2016m2,1.211208
2016m3,1.528893
2016m4,1.943636
