date,cat_financial_security
2011m1,.6613352
2011m2,-.0964703
2011m3,-.4750201
2011m4,-.5287526
2011m5,-.4364925
2011m6,.0132817
2011m7,.3238632
2011m8,.018516
2011m9,-.6926513
2011m10,-1.300007
2011m11,-1.638396
2011m12,-1.456383
2012m1,-.9031963
2012m2,-.5818542
2012m3,-.4413571
2012m4,-.4325518
2012m5,-.4562303
2012m6,-.3294001
2012m7,-.3282399
2012m8,-.4938618
2012m9,-.7620862
2012m10,-.9313477
2012m11,-1.042154
2012m12,-.7397718
2013m1,.0518493
2013m2,.2830749
2013m3,.139681
2013m4,-.0781402
2013m5,-.3402247
2013m6,-.382062
2013m7,-.3737374
2013m8,-.518356
2013m9,-.5615956
2013m10,-.4562474
2013m11,-.606536
2013m12,-.5793023
2014m1,-.171066
2014m2,.1843694
2014m3,.3738429
2014m4,.4644055
2014m5,.5656231
2014m6,.8946095
2014m7,.9865167
2014m8,.553946
2014m9,.1253838
2014m10,-.087
2014m11,-.1647494
2014m12,.1069534
2015m1,.6125622
2015m2,.8455728
2015m3,.8850269
2015m4,.8963597
2015m5,.8966546
2015m6,1.088537
2015m7,1.002
2015m8,.5660316
2015m9,-.0208134
2015m10,-.2923525
2015m11,-.4425376
2015m12,-.2443439
2016m1,.4083938
2016m2,1.068812
2016m3,2.037964
2016m4,3.330122
