date,swb_respect
2008m1,-1.164557
2008m2,-.8135759
2008m3,-.7672481
2008m4,-.6243625
2008m5,-.4606279
2008m6,-.4216984
2008m7,-.3663865
2008m8,.1802437
2008m9,.7542974
2008m10,.8836057
2008m11,.9960169
2008m12,1.18117
2009m1,1.363091
2009m2,1.10196
2009m3,.4899809
2009m4,.1854613
2009m5,.0487821
2009m6,.0288464
2009m7,.2245423
2009m8,.4275697
2009m9,.6126043
2009m10,.825076
2009m11,1.486141
2009m12,1.976766
2010m1,2.298985
2010m2,1.99287
2010m3,1.790745
2010m4,1.680139
2010m5,1.42004
2010m6,1.249131
2010m7,.8944454
2010m8,.6839975
2010m9,.6591294
2010m10,.9131828
2010m11,1.390282
2010m12,2.012671
2011m1,2.560032
2011m2,2.532035
2011m3,2.207491
2011m4,1.833969
2011m5,1.74607
2011m6,1.793175
2011m7,1.569844
2011m8,1.450553
2011m9,1.36627
2011m10,1.062333
2011m11,1.020009
2011m12,1.303514
2012m1,1.81726
2012m2,2.03484
2012m3,1.856802
2012m4,1.593791
2012m5,1.353091
2012m6,1.075158
2012m7,.834794
2012m8,.76555
2012m9,.8311937
2012m10,.7867368
2012m11,.7035219
2012m12,.5117253
2013m1,1.110883
2013m2,1.616949
2013m3,1.616842
2013m4,1.332707
2013m5,1.194377
2013m6,1.077989
2013m7,.8410464
2013m8,.5645127
2013m9,.6101115
2013m10,.686725
2013m11,.8659594
2013m12,1.254526
2014m1,1.681699
2014m2,1.671717
2014m3,1.537206
2014m4,1.327636
2014m5,1.086466
2014m6,.6803048
2014m7,.4819912
2014m8,.4174955
2014m9,.383358
2014m10,.4722749
2014m11,.7685966
2014m12,1.065111
2015m1,1.480261
2015m2,1.514362
2015m3,1.182592
2015m4,.9765427
2015m5,1.025647
2015m6,.8922833
2015m7,.5681182
2015m8,.0776332
2015m9,-.4043344
2015m10,-.638425
2015m11,-.676807
2015m12,-.3832591
2016m1,.318382
2016m2,.5296922
2016m3,.002244
2016m4,-.7655936
