date,swb_learn
2008m1,-1.241437
2008m2,-.3881671
2008m3,.2863988
2008m4,1.30164
2008m5,1.951089
2008m6,1.962763
2008m7,1.814073
2008m8,1.617284
2008m9,1.40656
2008m10,1.202955
2008m11,.8953249
2008m12,.3933158
2009m1,.2295548
2009m2,.6374752
2009m3,1.268259
2009m4,1.923851
2009m5,2.25939
2009m6,2.160735
2009m7,2.066859
2009m8,2.248144
2009m9,2.5537
2009m10,2.814777
2009m11,2.682177
2009m12,2.482863
2010m1,2.6793
2010m2,3.044592
2010m3,3.624176
2010m4,4.077786
2010m5,4.162649
2010m6,4.053505
2010m7,3.60621
2010m8,3.238114
2010m9,3.011384
2010m10,2.706961
2010m11,2.051297
2010m12,1.649674
2011m1,1.64361
2011m2,1.986326
2011m3,2.380859
2011m4,2.485531
2011m5,2.643492
2011m6,2.743408
2011m7,2.699054
2011m8,2.444403
2011m9,2.163556
2011m10,2.103422
2011m11,1.911301
2011m12,1.776611
2012m1,1.757621
2012m2,1.859035
2012m3,2.168431
2012m4,2.63104
2012m5,3.040348
2012m6,3.19626
2012m7,2.915495
2012m8,2.51132
2012m9,2.247433
2012m10,1.981396
2012m11,1.65477
2012m12,1.459848
2013m1,1.354811
2013m2,1.34861
2013m3,1.65998
2013m4,2.06774
2013m5,2.39502
2013m6,2.57974
2013m7,2.447352
2013m8,2.336294
2013m9,2.039221
2013m10,1.862236
2013m11,1.66363
2013m12,1.51704
2014m1,1.283374
2014m2,1.172232
2014m3,1.353078
2014m4,1.791567
2014m5,2.196769
2014m6,2.386228
2014m7,2.256449
2014m8,2.027766
2014m9,1.697453
2014m10,1.348894
2014m11,.9975701
2014m12,.9308827
2015m1,1.069504
2015m2,1.299044
2015m3,1.706603
2015m4,1.952367
2015m5,2.040568
2015m6,1.96748
2015m7,1.800602
2015m8,1.685647
2015m9,1.462463
2015m10,1.229876
2015m11,.865445
2015m12,.7340223
2016m1,.7789378
2016m2,.8599576
2016m3,1.109047
2016m4,1.360132
