date,cat_personal_security
2008m1,-.2774705
2008m2,-.4691491
2008m3,-.516928
2008m4,-.4880603
2008m5,-.5524853
2008m6,-.651619
2008m7,-.8415725
2008m8,-.893206
2008m9,-.5903386
2008m10,-.1576532
2008m11,.1154645
2008m12,.0914418
2009m1,-.0420014
2009m2,.0129173
2009m3,-.0707334
2009m4,-.1810701
2009m5,-.3724949
2009m6,-.4747181
2009m7,-.4221911
2009m8,-.1089666
2009m9,.4178663
2009m10,1.067886
2009m11,1.485621
2009m12,1.483134
2010m1,1.292766
2010m2,1.267052
2010m3,1.085266
2010m4,.8157983
2010m5,.5812277
2010m6,.4685766
2010m7,.3907675
2010m8,.464961
2010m9,.5604831
2010m10,.6449035
2010m11,.5540372
2010m12,.5030284
2011m1,.28741
2011m2,.1696912
2011m3,.1124828
2011m4,.0162725
2011m5,-.082218
2011m6,-.2650711
2011m7,-.2725667
2011m8,-.1782596
2011m9,.1564689
2011m10,.3770714
2011m11,.5063557
2011m12,.3666461
2012m1,.1615915
2012m2,.1020468
2012m3,.2371942
2012m4,.1667807
2012m5,.0816415
2012m6,.1325618
2012m7,.4221579
2012m8,.2519614
2012m9,.2785632
2012m10,.6497666
2012m11,1.180273
2012m12,1.79935
2013m1,1.743385
2013m2,1.464191
2013m3,1.329722
2013m4,1.317643
2013m5,.7468861
2013m6,-.0527318
2013m7,-.5932339
2013m8,-.8337118
2013m9,-.7522533
2013m10,-.6013687
2013m11,-.5569318
2013m12,-.6600128
2014m1,-.6804486
2014m2,-.6803805
2014m3,-.6780434
2014m4,-.7369578
2014m5,-.9420995
2014m6,-.9771029
2014m7,-.7994321
2014m8,-.5370429
2014m9,-.3311418
2014m10,-.2354703
2014m11,-.1223673
2014m12,.0522366
2015m1,.3792711
2015m2,.4791475
2015m3,.3538336
2015m4,.1855858
2015m5,.0371881
2015m6,.154146
2015m7,.3163939
2015m8,.3747473
2015m9,.5196354
2015m10,.3703418
2015m11,-.0298879
2015m12,-1.255414
2016m1,-2.189457
2016m2,-2.77088
2016m3,-2.813354
2016m4,-2.845343
