date,cat_civic_engagement
2011m1,.4280291
2011m2,.5614403
2011m3,.6150571
2011m4,.446194
2011m5,-.0796329
2011m6,-.777626
2011m7,-.9969652
2011m8,-.5138527
2011m9,.4266405
2011m10,1.05091
2011m11,1.028155
2011m12,.5911338
2012m1,.2899333
2012m2,.2085298
2012m3,.120426
2012m4,.0031852
2012m5,-.4838114
2012m6,-1.114544
2012m7,-1.332799
2012m8,-.943307
2012m9,-.2024111
2012m10,.1898504
2012m11,.2632931
2012m12,-.0022045
2013m1,-.0551108
2013m2,.1477546
2013m3,.2361657
2013m4,.0635599
2013m5,-.5022578
2013m6,-1.183772
2013m7,-1.280249
2013m8,-.7544223
2013m9,.2040212
2013m10,.7671448
2013m11,.7018296
2013m12,.224828
2014m1,-.0885258
2014m2,-.1422425
2014m3,-.2932462
2014m4,-.4186507
2014m5,-.9265876
2014m6,-1.614692
2014m7,-1.799439
2014m8,-1.359868
2014m9,-.5750054
2014m10,-.1477603
2014m11,-.0931888
2014m12,-.0794501
2015m1,.1579942
2015m2,.5935854
2015m3,.9045851
2015m4,.9728044
2015m5,.4362122
2015m6,-.3591774
2015m7,-.6765872
2015m8,-.3402249
2015m9,.4552024
2015m10,1.038787
2015m11,1.166435
2015m12,1.036268
2016m1,1.032726
2016m2,1.117295
2016m3,.9615335
2016m4,.6961011
