date,cat_family_stress
2011m1,1.274173
2011m2,.5667628
2011m3,.126847
2011m4,.0948543
2011m5,.4708201
2011m6,.9999795
2011m7,1.277059
2011m8,1.353403
2011m9,1.005659
2011m10,.5259801
2011m11,.0283089
2011m12,-.2509809
2012m1,-.0299777
2012m2,.0616641
2012m3,.0766468
2012m4,.2718108
2012m5,.4184135
2012m6,.7891545
2012m7,1.236311
2012m8,1.377387
2012m9,.8511013
2012m10,.0363319
2012m11,-.8659301
2012m12,-1.059503
2013m1,-.6488956
2013m2,-.3479939
2013m3,-.0145928
2013m4,.3223048
2013m5,.4109022
2013m6,.6734204
2013m7,.9396598
2013m8,.8671491
2013m9,.2371421
2013m10,-.6137677
2013m11,-1.281803
2013m12,-1.463559
2014m1,-1.021357
2014m2,-.6540071
2014m3,-.5192624
2014m4,-.3030923
2014m5,.0884137
2014m6,.4945868
2014m7,.5597199
2014m8,.2593316
2014m9,-.1192508
2014m10,-.6852865
2014m11,-1.304157
2014m12,-1.488999
2015m1,-1.148669
2015m2,-.8431774
2015m3,-.5539778
2015m4,-.267371
2015m5,.0728165
2015m6,.6698941
2015m7,1.149853
2015m8,1.052146
2015m9,.2820941
2015m10,-.5048596
2015m11,-1.048595
2015m12,-1.114925
2016m1,-.7755015
2016m2,-.6573227
2016m3,-.6640832
2016m4,-.6712049
