region,date,terrorisme
Bretagne,2013m1,-.50231969
Bretagne,2013m2,-.51085383
Bretagne,2013m3,-.58879346
Bretagne,2013m4,-.53584558
Bretagne,2013m5,-.43471971
Bretagne,2013m6,-.49258822
Bretagne,2013m7,-.15598203
Bretagne,2013m8,-.24093424
Bretagne,2013m9,-.39079311
Bretagne,2013m10,-.447469
Bretagne,2013m11,-.40270394
Bretagne,2013m12,-.42215595
Bretagne,2014m1,-.50634456
Bretagne,2014m2,-.52492845
Bretagne,2014m3,-.43908539
Bretagne,2014m4,-.39822665
Bretagne,2014m5,-.36268523
Bretagne,2014m6,-.40924203
Bretagne,2014m7,-.35726029
Bretagne,2014m8,-.36018842
Bretagne,2014m9,-.28034696
Bretagne,2014m10,-.43200523
Bretagne,2014m11,-.37418813
Bretagne,2014m12,.15429071
Bretagne,2015m1,1.3307432
Bretagne,2015m2,-.096904568
Bretagne,2015m3,-.2419257
Bretagne,2015m4,-.028400457
Bretagne,2015m5,-.17914571
Bretagne,2015m6,-.1467576
Bretagne,2015m7,-.038371354
Bretagne,2015m8,-.0070568705
Bretagne,2015m9,-.27600217
Bretagne,2015m10,-.1255606
Bretagne,2015m11,4.4639244
Bretagne,2015m12,.53803134
Bretagne,2016m1,.14252363
Bretagne,2016m2,.06015148
Bretagne,2016m3,.78501922
Bretagne,2016m4,.14622454
Bretagne,2016m5,-.025501423
Bretagne,2016m6,.27671304
Bretagne,2016m7,1.7950668
Bretagne,2016m8,.3378275
Bretagne,2016m9,-.022837518
Bretagne,2016m10,-.05162761
Bretagne,2016m11,-.16849677
Bretagne,2016m12,.13685966
Bretagne,2017m1,.10410021
Bretagne,2017m2,-.13936542
Bretagne,2017m3,.17945559
