date,swb_worry
2008m1,-.6523746
2008m2,-.7333113
2008m3,-.7724437
2008m4,-.7224416
2008m5,-.7066363
2008m6,-.573302
2008m7,-.433538
2008m8,-.0919021
2008m9,.3979479
2008m10,1.003541
2008m11,1.561642
2008m12,1.997058
2009m1,2.358834
2009m2,2.41887
2009m3,2.273579
2009m4,1.934829
2009m5,1.481728
2009m6,1.222077
2009m7,1.122276
2009m8,1.029143
2009m9,1.249017
2009m10,1.582125
2009m11,1.703199
2009m12,1.590001
2010m1,1.270035
2010m2,.9914544
2010m3,.7938889
2010m4,.45626
2010m5,.1885267
2010m6,.238628
2010m7,.5142136
2010m8,.7148045
2010m9,1.0143
2010m10,1.358979
2010m11,1.394113
2010m12,1.129989
2011m1,.4009758
2011m2,-.130646
2011m3,-.2937981
2011m4,-.3945748
2011m5,-.531005
2011m6,-.5740858
2011m7,-.3426058
2011m8,.191575
2011m9,.7068649
2011m10,.9026812
2011m11,.6600254
2011m12,.2727006
2012m1,-.1577005
2012m2,-.4597635
2012m3,-.7442728
2012m4,-.8605869
2012m5,-.9158263
2012m6,-.7793137
2012m7,-.3942877
2012m8,.191496
2012m9,.716549
2012m10,.9765471
2012m11,.8145391
2012m12,.4246973
2013m1,-.1133793
2013m2,-.4535694
2013m3,-.6761075
2013m4,-.8557289
2013m5,-1.011271
2013m6,-.9548233
2013m7,-.6392246
2013m8,-.2624709
2013m9,.1451864
2013m10,.3741061
2013m11,.2886525
2013m12,.088524
2014m1,-.2813659
2014m2,-.6120118
2014m3,-.8249443
2014m4,-1.005631
2014m5,-1.150873
2014m6,-1.139619
2014m7,-.8523185
2014m8,-.5089788
2014m9,-.2831411
2014m10,-.2071465
2014m11,-.4003426
2014m12,-.6460634
2015m1,-.8616766
2015m2,-.9403386
2015m3,-.9852326
2015m4,-1.101941
2015m5,-1.241431
2015m6,-1.070381
2015m7,-.7620175
2015m8,-.4364524
2015m9,-.2181659
2015m10,-.2234151
2015m11,-.3453007
2015m12,-.500648
2016m1,-.7845085
2016m2,-.992955
2016m3,-.8591006
2016m4,-.4754894
