date,cat_financial_security
2008m1,.830573
2008m2,.4320927
2008m3,.1291379
2008m4,-.124282
2008m5,-.3283278
2008m6,-.4350606
2008m7,-.5208409
2008m8,-.5871137
2008m9,-.5752319
2008m10,-.6090207
2008m11,-.7181659
2008m12,-.7221452
2009m1,-.6737897
2009m2,-.7100237
2009m3,-.7681915
2009m4,-.8913181
2009m5,-.9952053
2009m6,-1.040855
2009m7,-1.080758
2009m8,-1.147229
2009m9,-1.222456
2009m10,-1.286009
2009m11,-1.346976
2009m12,-1.342652
2010m1,-1.285692
2010m2,-1.306477
2010m3,-1.330188
2010m4,-1.374489
2010m5,-1.438339
2010m6,-1.467642
2010m7,-1.502675
2010m8,-1.562899
2010m9,-1.641626
2010m10,-1.645651
2010m11,-1.432265
2010m12,-.8052094
2011m1,.2174539
2011m2,.781188
2011m3,.946549
2011m4,.8972943
2011m5,.7882981
2011m6,.8292797
2011m7,.8904961
2011m8,.8134632
2011m9,.6207839
2011m10,.4822727
2011m11,.4127988
2011m12,.5311058
2012m1,.8155645
2012m2,.9358556
2012m3,.8947675
2012m4,.8320634
2012m5,.7800839
2012m6,.7841214
2012m7,.8189244
2012m8,.7846808
2012m9,.6770976
2012m10,.6137794
2012m11,.65096
2012m12,.828492
2013m1,1.092572
2013m2,1.154223
2013m3,1.175303
2013m4,1.127323
2013m5,.9548448
2013m6,.7657167
2013m7,.5791675
2013m8,.4588171
2013m9,.4354873
2013m10,.4772362
2013m11,.5013389
2013m12,.6230471
2014m1,.8339003
2014m2,.9062583
2014m3,.7903493
2014m4,.4924384
2014m5,.1806471
2014m6,-.0785049
2014m7,-.3912068
2014m8,-.6533786
2014m9,-.7881225
2014m10,-.8516451
2014m11,-.9166529
2014m12,-.9510822
2015m1,-.9711286
2015m2,-1.016898
2015m3,-1.052962
2015m4,-1.018447
2015m5,-.81559
2015m6,-.2586683
2015m7,.5483447
2015m8,.9570712
2015m9,1.008655
2015m10,.978635
2015m11,.944304
2015m12,1.019366
2016m1,1.216345
2016m2,1.440537
2016m3,1.763717
2016m4,2.238267
