date,cat_housing
2008m1,2.169106
2008m2,1.591787
2008m3,1.166265
2008m4,.8231159
2008m5,.4979588
2008m6,.2768299
2008m7,.091196
2008m8,-.0428398
2008m9,.0351464
2008m10,.284643
2008m11,.8116431
2008m12,1.935874
2009m1,2.542248
2009m2,2.362948
2009m3,2.046969
2009m4,1.579646
2009m5,1.191679
2009m6,1.150154
2009m7,1.005064
2009m8,.6780873
2009m9,.3714684
2009m10,.3109869
2009m11,.3773358
2009m12,.4840612
2010m1,.810852
2010m2,1.0133
2010m3,1.085742
2010m4,1.133424
2010m5,1.300923
2010m6,1.506843
2010m7,1.489682
2010m8,1.283957
2010m9,.9339449
2010m10,.6367255
2010m11,.4448422
2010m12,.3159554
2011m1,.2890624
2011m2,.048051
2011m3,-.2031896
2011m4,-.2906967
2011m5,-.2533268
2011m6,-.1400328
2011m7,.0641702
2011m8,.3100432
2011m9,.2810403
2011m10,.1088248
2011m11,-.1653444
2011m12,-.271808
2012m1,-.1181149
2012m2,.0140844
2012m3,-.0147425
2012m4,-.0759768
2012m5,-.1324753
2012m6,-.1010476
2012m7,-.1046288
2012m8,-.2874135
2012m9,-.4694022
2012m10,-.6446587
2012m11,-.7440562
2012m12,-.6655808
2013m1,-.408719
2013m2,-.3470929
2013m3,-.3401755
2013m4,-.2877427
2013m5,-.2678557
2013m6,-.3942932
2013m7,-.7043651
2013m8,-.9852841
2013m9,-1.171851
2013m10,-1.389145
2013m11,-1.522377
2013m12,-1.442965
2014m1,-1.23024
2014m2,-1.096441
2014m3,-1.03457
2014m4,-.9957314
2014m5,-.9178123
2014m6,-.7740775
2014m7,-.7097479
2014m8,-.8095244
2014m9,-.9946601
2014m10,-1.071625
2014m11,-1.110028
2014m12,-1.043377
2015m1,-.7673988
2015m2,-.5242403
2015m3,-.3354012
2015m4,-.2321279
2015m5,-.1895494
2015m6,-.2098026
2015m7,-.4016134
2015m8,-.7010092
2015m9,-.9900638
2015m10,-1.19855
2015m11,-1.277072
2015m12,-1.189174
2016m1,-1.015008
2016m2,-.8485752
2016m3,-.6953356
2016m4,-.5057239
