region,date,politics_security
Rhone-Alpes,2013m1,-.2801937967538833
Rhone-Alpes,2013m2,-.2272913135588169
Rhone-Alpes,2013m3,-.3374215980060399
Rhone-Alpes,2013m4,-.2476660597138107
Rhone-Alpes,2013m5,-.3950446344912052
Rhone-Alpes,2013m6,-.7885734051465988
Rhone-Alpes,2013m7,-.9173366099596023
Rhone-Alpes,2013m8,-.6138831973075867
Rhone-Alpes,2013m9,-.4547708250582218
Rhone-Alpes,2013m10,.1007254593074322
Rhone-Alpes,2013m11,.5929482068866492
Rhone-Alpes,2013m12,.1367796659469604
Rhone-Alpes,2014m1,.377987802401185
Rhone-Alpes,2014m2,.7431779459118844
Rhone-Alpes,2014m3,.7376229807734489
Rhone-Alpes,2014m4,.2173616256564856
Rhone-Alpes,2014m5,.3770752243697643
Rhone-Alpes,2014m6,-.3713506158441305
Rhone-Alpes,2014m7,-.7484872005879879
Rhone-Alpes,2014m8,-.5300765186548233
Rhone-Alpes,2014m9,-.1710860370658338
Rhone-Alpes,2014m10,.1822106715291739
Rhone-Alpes,2014m11,.5650224391371012
Rhone-Alpes,2014m12,.1383731056004763
Rhone-Alpes,2015m1,.7427436769008636
Rhone-Alpes,2015m2,.7662979990243912
Rhone-Alpes,2015m3,1.211038847267628
Rhone-Alpes,2015m4,.2807503264397383
Rhone-Alpes,2015m5,.0495952451601624
Rhone-Alpes,2015m6,-.4664863429963589
Rhone-Alpes,2015m7,-.9425418578088284
Rhone-Alpes,2015m8,-.7510732352733612
Rhone-Alpes,2015m9,.0987036559730768
Rhone-Alpes,2015m10,.2994767807424069
Rhone-Alpes,2015m11,1.440365146100521
Rhone-Alpes,2015m12,1.377524711191654
Rhone-Alpes,2016m1,.4354030705988407
Rhone-Alpes,2016m2,-.0130996257066727
Rhone-Alpes,2016m3,.2154417350888252
Rhone-Alpes,2016m4,.4564842775464058
Rhone-Alpes,2016m5,.7567637886852026
Rhone-Alpes,2016m6,
