region,date,recherche_emploi
Basse-Normandie,2013m1,.47995275
Basse-Normandie,2013m2,.59028667
Basse-Normandie,2013m3,.45371509
Basse-Normandie,2013m4,-.19229506
Basse-Normandie,2013m5,-.16682912
Basse-Normandie,2013m6,-.19957855
Basse-Normandie,2013m7,-1.2059075
Basse-Normandie,2013m8,-1.4372554
Basse-Normandie,2013m9,.40895301
Basse-Normandie,2013m10,.35223961
Basse-Normandie,2013m11,.060663313
Basse-Normandie,2013m12,-.62727928
Basse-Normandie,2014m1,.42628914
Basse-Normandie,2014m2,.65847689
Basse-Normandie,2014m3,.76955378
Basse-Normandie,2014m4,-.35013288
Basse-Normandie,2014m5,.089969024
Basse-Normandie,2014m6,-.39677101
Basse-Normandie,2014m7,-.96407139
Basse-Normandie,2014m8,-.87255722
Basse-Normandie,2014m9,.95959365
Basse-Normandie,2014m10,.67296821
Basse-Normandie,2014m11,.28223854
Basse-Normandie,2014m12,-.82553172
Basse-Normandie,2015m1,.67420262
Basse-Normandie,2015m2,.85364509
Basse-Normandie,2015m3,.98154175
Basse-Normandie,2015m4,.1848686
Basse-Normandie,2015m5,.11290688
Basse-Normandie,2015m6,.24114826
Basse-Normandie,2015m7,-.93234479
Basse-Normandie,2015m8,-.83905214
Basse-Normandie,2015m9,.67047203
Basse-Normandie,2015m10,.14923325
Basse-Normandie,2015m11,-.042403512
Basse-Normandie,2015m12,-.634435
Basse-Normandie,2016m1,.62983322
Basse-Normandie,2016m2,.48768035
Basse-Normandie,2016m3,.74876809
Basse-Normandie,2016m4,-.059449185
Basse-Normandie,2016m5,.075912677
Basse-Normandie,2016m6,.055604789
Basse-Normandie,2016m7,-1.2341242
Basse-Normandie,2016m8,-1.0495847
Basse-Normandie,2016m9,.50501102
Basse-Normandie,2016m10,-.01705965
Basse-Normandie,2016m11,-.28392473
Basse-Normandie,2016m12,-1.1045923
Basse-Normandie,2017m1,.31893915
Basse-Normandie,2017m2,.35222438
Basse-Normandie,2017m3,.71416736
