region,date,mal_etre
Champagne-Ardenne,2013m1,-.20460859
Champagne-Ardenne,2013m2,-.72275525
Champagne-Ardenne,2013m3,-.47821826
Champagne-Ardenne,2013m4,-.58906788
Champagne-Ardenne,2013m5,-.54194802
Champagne-Ardenne,2013m6,-.6720832
Champagne-Ardenne,2013m7,-.97992337
Champagne-Ardenne,2013m8,-.68155706
Champagne-Ardenne,2013m9,-.33761081
Champagne-Ardenne,2013m10,-.2716639
Champagne-Ardenne,2013m11,-.086708054
Champagne-Ardenne,2013m12,-.2813701
Champagne-Ardenne,2014m1,.050711609
Champagne-Ardenne,2014m2,-.078719325
Champagne-Ardenne,2014m3,-.15626551
Champagne-Ardenne,2014m4,-.46050641
Champagne-Ardenne,2014m5,-.085875131
Champagne-Ardenne,2014m6,-.59556246
Champagne-Ardenne,2014m7,-.54435283
Champagne-Ardenne,2014m8,-.45110211
Champagne-Ardenne,2014m9,-.084037736
Champagne-Ardenne,2014m10,-.0050354823
Champagne-Ardenne,2014m11,.2205662
Champagne-Ardenne,2014m12,-.35885078
Champagne-Ardenne,2015m1,-.025306856
Champagne-Ardenne,2015m2,.19545941
Champagne-Ardenne,2015m3,.2788814
Champagne-Ardenne,2015m4,-.065189347
Champagne-Ardenne,2015m5,.18805793
Champagne-Ardenne,2015m6,.098896213
Champagne-Ardenne,2015m7,-.017669465
Champagne-Ardenne,2015m8,.081512749
Champagne-Ardenne,2015m9,.38873276
Champagne-Ardenne,2015m10,.44214672
Champagne-Ardenne,2015m11,.045396563
Champagne-Ardenne,2015m12,-.018506743
Champagne-Ardenne,2016m1,.45719773
Champagne-Ardenne,2016m2,.4240765
Champagne-Ardenne,2016m3,.44019634
Champagne-Ardenne,2016m4,.39276713
Champagne-Ardenne,2016m5,.62891906
Champagne-Ardenne,2016m6,.49257126
Champagne-Ardenne,2016m7,.086471178
Champagne-Ardenne,2016m8,-.15908796
Champagne-Ardenne,2016m9,.5253768
Champagne-Ardenne,2016m10,.63762391
Champagne-Ardenne,2016m11,.50738835
Champagne-Ardenne,2016m12,.48641914
Champagne-Ardenne,2017m1,.62769639
Champagne-Ardenne,2017m2,.68345785
Champagne-Ardenne,2017m3,.903759
