date,cat_health_conditions
2008m1,.336974
2008m2,.4815607
2008m3,.5188099
2008m4,.2912447
2008m5,-.1510014
2008m6,-.5460033
2008m7,-.8268036
2008m8,-.8569285
2008m9,-.6534321
2008m10,-.5089928
2008m11,-.579023
2008m12,-.6662248
2009m1,-.6447178
2009m2,-.525076
2009m3,-.4706432
2009m4,-.6197173
2009m5,-.8860379
2009m6,-1.134228
2009m7,-1.290061
2009m8,-1.28656
2009m9,-1.103701
2009m10,-.9817413
2009m11,-.9956983
2009m12,-1.133464
2010m1,-1.205615
2010m2,-1.1517
2010m3,-1.06494
2010m4,-1.126489
2010m5,-1.336211
2010m6,-1.54566
2010m7,-1.644228
2010m8,-1.617358
2010m9,-1.529309
2010m10,-1.417942
2010m11,-1.267552
2010m12,-.8780119
2011m1,.0229512
2011m2,.8111811
2011m3,1.194366
2011m4,1.13861
2011m5,.8203822
2011m6,.4986336
2011m7,.3228384
2011m8,.3790632
2011m9,.6287461
2011m10,.8921685
2011m11,1.066372
2011m12,1.040326
2012m1,1.234372
2012m2,1.485917
2012m3,1.565177
2012m4,1.363892
2012m5,.9363325
2012m6,.5599158
2012m7,.3478763
2012m8,.337284
2012m9,.5685844
2012m10,.6880431
2012m11,.6950052
2012m12,.649525
2013m1,.7614547
2013m2,.988463
2013m3,1.138281
2013m4,1.077456
2013m5,.7232296
2013m6,.3656883
2013m7,.19944
2013m8,.253941
2013m9,.4899806
2013m10,.7053795
2013m11,.6961419
2013m12,.5525293
2014m1,.6029023
2014m2,.8324954
2014m3,.8846138
2014m4,.7003328
2014m5,.2702906
2014m6,-.1984841
2014m7,-.6065366
2014m8,-.7723804
2014m9,-.7530775
2014m10,-.7309711
2014m11,-.830762
2014m12,-1.028794
2015m1,-1.137339
2015m2,-1.100912
2015m3,-1.070663
2015m4,-1.073942
2015m5,-1.029957
2015m6,-.7477761
2015m7,-.1063067
2015m8,.5194126
2015m9,1.035165
2015m10,1.230187
2015m11,1.214385
2015m12,1.109903
2016m1,1.192431
2016m2,1.434457
2016m3,1.528799
2016m4,1.449462
