region,date,solidarite
Poitou-Charentes,2013m1,.0020641908
Poitou-Charentes,2013m2,-.25667235
Poitou-Charentes,2013m3,.20813303
Poitou-Charentes,2013m4,-.047407016
Poitou-Charentes,2013m5,.097433478
Poitou-Charentes,2013m6,-.014025825
Poitou-Charentes,2013m7,-.54597896
Poitou-Charentes,2013m8,-.65292531
Poitou-Charentes,2013m9,.0036378377
Poitou-Charentes,2013m10,-.03203506
Poitou-Charentes,2013m11,.16140155
Poitou-Charentes,2013m12,-.25773826
Poitou-Charentes,2014m1,.065991245
Poitou-Charentes,2014m2,-.14707923
Poitou-Charentes,2014m3,-.17450017
Poitou-Charentes,2014m4,-.12221997
Poitou-Charentes,2014m5,-.25573874
Poitou-Charentes,2014m6,-.27052203
Poitou-Charentes,2014m7,-.72257638
Poitou-Charentes,2014m8,-.48699665
Poitou-Charentes,2014m9,.41725263
Poitou-Charentes,2014m10,.49714267
Poitou-Charentes,2014m11,.76749903
Poitou-Charentes,2014m12,-.42693076
Poitou-Charentes,2015m1,-.23563442
Poitou-Charentes,2015m2,.18701372
Poitou-Charentes,2015m3,.54444957
Poitou-Charentes,2015m4,-.12346973
Poitou-Charentes,2015m5,.0081685046
Poitou-Charentes,2015m6,.0028189262
Poitou-Charentes,2015m7,-.65898043
Poitou-Charentes,2015m8,-.57990003
Poitou-Charentes,2015m9,.10900937
Poitou-Charentes,2015m10,.22026516
Poitou-Charentes,2015m11,.097672485
Poitou-Charentes,2015m12,-.50893086
Poitou-Charentes,2016m1,.22051823
Poitou-Charentes,2016m2,.49688268
Poitou-Charentes,2016m3,.62375844
Poitou-Charentes,2016m4,.24397129
Poitou-Charentes,2016m5,-.020101104
Poitou-Charentes,2016m6,.11112918
Poitou-Charentes,2016m7,-.3415103
Poitou-Charentes,2016m8,-.53560388
Poitou-Charentes,2016m9,.52720243
Poitou-Charentes,2016m10,.52205229
Poitou-Charentes,2016m11,.48401505
Poitou-Charentes,2016m12,-.3563295
Poitou-Charentes,2017m1,.44035164
Poitou-Charentes,2017m2,.50285733
Poitou-Charentes,2017m3,.089668125
