date,cat_housing
2008m1,1.113421
2008m2,.8503885
2008m3,.6714059
2008m4,.2289136
2008m5,-.1065599
2008m6,-.3200935
2008m7,-.3860801
2008m8,-.4606653
2008m9,-.2649111
2008m10,-.0484852
2008m11,.6350919
2008m12,1.922037
2009m1,2.617992
2009m2,2.499602
2009m3,2.122389
2009m4,1.430161
2009m5,.9368821
2009m6,.7893512
2009m7,.583136
2009m8,.4858531
2009m9,.4230585
2009m10,.5139991
2009m11,.4609921
2009m12,.4712682
2010m1,.5851001
2010m2,.589661
2010m3,.6355737
2010m4,.9719311
2010m5,1.390592
2010m6,1.690806
2010m7,1.914718
2010m8,2.267863
2010m9,1.843074
2010m10,1.015453
2010m11,.307585
2010m12,-.2787116
2011m1,-.6034163
2011m2,-.7201555
2011m3,-.6919151
2011m4,-.6244275
2011m5,-.4471445
2011m6,-.1477511
2011m7,.1525064
2011m8,.503369
2011m9,.4956939
2011m10,.2433251
2011m11,-.1665803
2011m12,-.4058174
2012m1,-.3945698
2012m2,-.2711832
2012m3,-.1369675
2012m4,.0048785
2012m5,.1303738
2012m6,.2465178
2012m7,.2797867
2012m8,.1317125
2012m9,.0016358
2012m10,-.2249057
2012m11,-.4305504
2012m12,-.4744196
2013m1,-.3117615
2013m2,-.2749612
2013m3,-.2344084
2013m4,-.2339427
2013m5,-.2780295
2013m6,-.2143297
2013m7,-.31653
2013m8,-.5552629
2013m9,-.7718565
2013m10,-.9520221
2013m11,-1.128691
2013m12,-1.240963
2014m1,-1.153949
2014m2,-1.145634
2014m3,-1.095551
2014m4,-.9761988
2014m5,-.6800749
2014m6,-.4669446
2014m7,-.5032275
2014m8,-.7037858
2014m9,-.8967618
2014m10,-1.047187
2014m11,-1.153872
2014m12,-1.003249
2015m1,-.6633218
2015m2,-.4644663
2015m3,-.401583
2015m4,-.4089097
2015m5,-.424439
2015m6,-.3330891
2015m7,-.176208
2015m8,-.1589186
2015m9,-.3575455
2015m10,-.7452846
2015m11,-1.139458
2015m12,-1.194593
2016m1,-.9415943
2016m2,-.6938742
2016m3,-.5522552
2016m4,-.5580538
