date,cat_family_stress
2011m1,.283613
2011m2,-.2421479
2011m3,-.4334204
2011m4,-.0427362
2011m5,.301588
2011m6,.928166
2011m7,1.677716
2011m8,1.702854
2011m9,.8759323
2011m10,.1787718
2011m11,-.22833
2011m12,-.6578701
2012m1,-.5397897
2012m2,-.3548757
2012m3,-.0503705
2012m4,.1913952
2012m5,.4931953
2012m6,.7739984
2012m7,1.039244
2012m8,.8433452
2012m9,.0299513
2012m10,-.4480781
2012m11,-.7505674
2012m12,-.7360919
2013m1,-.3306792
2013m2,-.0857567
2013m3,-.0601444
2013m4,.0286498
2013m5,.0138036
2013m6,.0088632
2013m7,.0184281
2013m8,-.3080052
2013m9,-.7692989
2013m10,-.8882126
2013m11,-1.020682
2013m12,-1.06318
2014m1,-.609095
2014m2,-.4873073
2014m3,-.5751885
2014m4,-.3989625
2014m5,-.1847596
2014m6,.0892075
2014m7,.4349959
2014m8,.6438553
2014m9,.5118138
2014m10,-.0022159
2014m11,-.5843895
2014m12,-.585272
2015m1,-.0849394
2015m2,.0442358
2015m3,.0964355
2015m4,.1301698
2015m5,.1485306
2015m6,.7321724
2015m7,.8016504
2015m8,.4817263
2015m9,-.2360571
2015m10,-.7599161
2015m11,-.8404676
2015m12,-.3730121
2016m1,.2519067
2016m2,.2671623
2016m3,.2393726
2016m4,.4690692
