date,swb_sadness
2008m1,-.3139028
2008m2,-.1948528
2008m3,-.0871717
2008m4,-.1169546
2008m5,-.229519
2008m6,-.4107585
2008m7,-.5557058
2008m8,-.3855731
2008m9,.0862421
2008m10,.9302121
2008m11,1.902357
2008m12,2.401855
2009m1,2.722369
2009m2,2.780243
2009m3,2.072038
2009m4,1.260623
2009m5,.8132603
2009m6,.8202423
2009m7,.834996
2009m8,.7037407
2009m9,.655281
2009m10,.6401639
2009m11,.6228705
2009m12,.4953201
2010m1,.2119273
2010m2,-.0213482
2010m3,-.3365544
2010m4,-.5193036
2010m5,-.3637586
2010m6,.0260545
2010m7,.4100858
2010m8,.6067272
2010m9,.6401662
2010m10,.6247647
2010m11,.6774727
2010m12,.6134369
2011m1,.1513156
2011m2,-.1155378
2011m3,-.3475575
2011m4,-.4376204
2011m5,-.3791676
2011m6,-.2178801
2011m7,.0879442
2011m8,.5476124
2011m9,.7116623
2011m10,.4908049
2011m11,.296176
2011m12,.2674443
2012m1,.1685701
2012m2,.1176475
2012m3,-.0726783
2012m4,-.3840943
2012m5,-.506945
2012m6,-.3814509
2012m7,-.1023149
2012m8,.2671486
2012m9,.7647995
2012m10,1.170651
2012m11,1.415944
2012m12,1.515793
2013m1,1.053738
2013m2,.5113713
2013m3,.0041211
2013m4,-.2261536
2013m5,-.2959735
2013m6,-.2634412
2013m7,-.2315945
2013m8,-.1626337
2013m9,-.1172131
2013m10,-.0649759
2013m11,.0570258
2013m12,.1922392
2014m1,-.0499663
2014m2,-.4119996
2014m3,-.7569757
2014m4,-.9072954
2014m5,-.9281973
2014m6,-.8125917
2014m7,-.6496034
2014m8,-.3513328
2014m9,-.1366082
2014m10,-.1278409
2014m11,-.1978611
2014m12,-.429936
2015m1,-.7204455
2015m2,-1.020884
2015m3,-1.495775
2015m4,-1.781008
2015m5,-1.804431
2015m6,-1.715124
2015m7,-1.467004
2015m8,-1.089033
2015m9,-.7516986
2015m10,-.5342113
2015m11,-.3513414
2015m12,-.3877011
2016m1,-.9031116
2016m2,-1.32479
2016m3,-1.686656
2016m4,-1.898946
