date,cat_health_worries
2011m1,2.099561
2011m2,2.025381
2011m3,1.631877
2011m4,1.447047
2011m5,1.452857
2011m6,1.299114
2011m7,1.159984
2011m8,1.247307
2011m9,1.406682
2011m10,1.239962
2011m11,1.097449
2011m12,1.191759
2012m1,1.464999
2012m2,1.419814
2012m3,1.057939
2012m4,.6499448
2012m5,.3369722
2012m6,.1669202
2012m7,.219054
2012m8,.3377491
2012m9,.5533437
2012m10,.5402519
2012m11,.3751216
2012m12,.1590354
2013m1,.0404145
2013m2,-.0438961
2013m3,-.1673695
2013m4,-.243019
2013m5,-.3721862
2013m6,-.4798616
2013m7,-.5202186
2013m8,-.5266592
2013m9,-.5379587
2013m10,-.4363839
2013m11,-.3846652
2013m12,-.4230051
2014m1,-.4922528
2014m2,-.4860035
2014m3,-.3923697
2014m4,-.2511265
2014m5,-.2875619
2014m6,-.4459536
2014m7,-.6260535
2014m8,-.6288306
2014m9,-.4881625
2014m10,-.4424405
2014m11,-.5207717
2014m12,-.6373779
2015m1,-.5396014
2015m2,-.2233265
2015m3,-.2021703
2015m4,-.4677432
2015m5,-.9296292
2015m6,-1.349518
2015m7,-1.476025
2015m8,-1.458899
2015m9,-1.324846
2015m10,-1.193018
2015m11,-1.212687
2015m12,-1.259331
2016m1,-1.298093
2016m2,-1.052803
2016m3,-.677486
2016m4,-.1212339
