region,date,juifs
Bretagne,2013m1,-.62147647
Bretagne,2013m2,.42208573
Bretagne,2013m3,-.18469551
Bretagne,2013m4,-.21816012
Bretagne,2013m5,.47498664
Bretagne,2013m6,-.05438409
Bretagne,2013m7,-.74796224
Bretagne,2013m8,-.59068966
Bretagne,2013m9,-.53164518
Bretagne,2013m10,.16295269
Bretagne,2013m11,.13526078
Bretagne,2013m12,1.9659976
Bretagne,2014m1,3.9732468
Bretagne,2014m2,-.10774125
Bretagne,2014m3,-.12515225
Bretagne,2014m4,.11965204
Bretagne,2014m5,.98981875
Bretagne,2014m6,-.38828906
Bretagne,2014m7,.96092802
Bretagne,2014m8,-.057749841
Bretagne,2014m9,-.53463614
Bretagne,2014m10,-.093584053
Bretagne,2014m11,-.14572959
Bretagne,2014m12,-.13236114
Bretagne,2015m1,2.076731
Bretagne,2015m2,.82378876
Bretagne,2015m3,.07017605
Bretagne,2015m4,-.45919099
Bretagne,2015m5,.037977334
Bretagne,2015m6,-.85034645
Bretagne,2015m7,-.52859753
Bretagne,2015m8,-.19486204
Bretagne,2015m9,-.18579882
Bretagne,2015m10,.19580534
Bretagne,2015m11,.13273808
Bretagne,2015m12,.11811988
Bretagne,2016m1,.052214138
Bretagne,2016m2,.52645576
Bretagne,2016m3,.47666031
Bretagne,2016m4,.042581309
Bretagne,2016m5,-.30724043
Bretagne,2016m6,-.68724966
Bretagne,2016m7,-.72324008
Bretagne,2016m8,-1.359663
Bretagne,2016m9,-.78726149
Bretagne,2016m10,-.26238254
Bretagne,2016m11,-.73325628
Bretagne,2016m12,-.66904211
Bretagne,2017m1,-.81194896
Bretagne,2017m2,-.39499399
Bretagne,2017m3,-.084321618
