date,cat_personal_security
2008m1,-1.004661
2008m2,-.8537586
2008m3,-.6908702
2008m4,-.6942448
2008m5,-.8506783
2008m6,-1.128214
2008m7,-1.242896
2008m8,-1.145972
2008m9,-.7122653
2008m10,-.1607623
2008m11,.17772
2008m12,.0956854
2009m1,.0745772
2009m2,.201876
2009m3,.2531189
2009m4,.0057303
2009m5,-.6186499
2009m6,-1.113339
2009m7,-1.161853
2009m8,-.8749165
2009m9,-.2861678
2009m10,.4410344
2009m11,.757725
2009m12,.6542424
2010m1,.5554129
2010m2,.5579423
2010m3,.5909016
2010m4,.4816036
2010m5,.1838863
2010m6,-.4374681
2010m7,-.8515885
2010m8,-.7728772
2010m9,-.3581465
2010m10,.0656226
2010m11,.3239571
2010m12,.3059003
2011m1,.1678566
2011m2,-.0001185
2011m3,-.1539012
2011m4,-.320968
2011m5,-.5655729
2011m6,-.8212893
2011m7,-.8271763
2011m8,-.7369336
2011m9,-.4539003
2011m10,-.1588042
2011m11,.0640282
2011m12,.0360222
2012m1,-.1158797
2012m2,-.2336398
2012m3,-.3070286
2012m4,-.4565343
2012m5,-.6398472
2012m6,-.6710939
2012m7,-.5414542
2012m8,-.7206397
2012m9,-.6050317
2012m10,.1033549
2012m11,1.312096
2012m12,2.614801
2013m1,2.652854
2013m2,1.972809
2013m3,1.514189
2013m4,1.181706
2013m5,.3414862
2013m6,-.4489419
2013m7,-.8028874
2013m8,-.7782115
2013m9,-.4622885
2013m10,-.1784271
2013m11,-.0533545
2013m12,-.2711035
2014m1,-.4625047
2014m2,-.3731562
2014m3,-.2179881
2014m4,-.1721295
2014m5,-.2901243
2014m6,-.4334415
2014m7,-.3994144
2014m8,-.2153327
2014m9,.0290445
2014m10,.1829236
2014m11,.2346431
2014m12,.1809743
2015m1,.1891662
2015m2,.0816497
2015m3,.0847311
2015m4,.097863
2015m5,-.032562
2015m6,-.1302824
2015m7,-.2427746
2015m8,-.1237885
2015m9,.429209
2015m10,1.452483
2015m11,2.307654
2015m12,2.255646
2016m1,1.562133
2016m2,1.024025
2016m3,.8187622
2016m4,.7588075
