date,swb_laugh
2011m1,-1.577073
2011m2,-1.068733
2011m3,-.5668705
2011m4,-.054294
2011m5,.0811976
2011m6,-.3006952
2011m7,-.794008
2011m8,-1.005055
2011m9,-.7913681
2011m10,-.0985026
2011m11,.4512806
2011m12,.5843299
2012m1,.2988133
2012m2,.1530641
2012m3,.1506725
2012m4,.2509903
2012m5,.4599015
2012m6,.4978661
2012m7,.1900844
2012m8,-.4400672
2012m9,-1.055093
2012m10,-1.341093
2012m11,-1.364234
2012m12,-1.436855
2013m1,-1.613282
2013m2,-1.101673
2013m3,-.4768453
2013m4,.0013854
2013m5,.3605796
2013m6,.381905
2013m7,.1007665
2013m8,-.5343278
2013m9,-1.022735
2013m10,-.7855069
2013m11,-.2696755
2013m12,-.4169852
2014m1,-1.434607
2014m2,-2.140459
2014m3,-2.125361
2014m4,-1.6682
2014m5,-1.05802
2014m6,-.8918004
2014m7,-1.006514
2014m8,-1.300203
2014m9,-1.458209
2014m10,-1.215578
2014m11,-.8810105
2014m12,-.8727946
2015m1,-1.143129
2015m2,-1.19361
2015m3,-1.202718
2015m4,-1.187291
2015m5,-.8953083
2015m6,-.8807335
2015m7,-1.139496
2015m8,-1.630649
2015m9,-1.992087
2015m10,-1.916844
2015m11,-1.509564
2015m12,-1.181859
2016m1,-1.26111
2016m2,-1.595466
2016m3,-1.791642
2016m4,-1.886869
