date,cat_health_worries
2011m1,2.580068
2011m2,1.984945
2011m3,1.501346
2011m4,1.134841
2011m5,.9526899
2011m6,.8518386
2011m7,.7377239
2011m8,.7585741
2011m9,.8866226
2011m10,.6225039
2011m11,.312115
2011m12,.386827
2012m1,.8660673
2012m2,1.187456
2012m3,1.300678
2012m4,1.329897
2012m5,1.483781
2012m6,1.189381
2012m7,.7112064
2012m8,.5128681
2012m9,.3209427
2012m10,.1806184
2012m11,-.3988873
2012m12,-1.106292
2013m1,-1.099649
2013m2,-.7730117
2013m3,-.3242163
2013m4,-.1357212
2013m5,-.209594
2013m6,-.3243583
2013m7,-.3792733
2013m8,-.3868704
2013m9,-.2620377
2013m10,-.2717728
2013m11,-.3416104
2013m12,-.4019891
2014m1,-.2268643
2014m2,-.2225862
2014m3,-.2276636
2014m4,-.4484487
2014m5,-.8234055
2014m6,-.9286277
2014m7,-.7566394
2014m8,-.5375205
2014m9,-.2760401
2014m10,-.32998
2014m11,-.461909
2014m12,-.6108455
2015m1,-.3980247
2015m2,.0311287
2015m3,.0625818
2015m4,-.2223998
2015m5,-.6777568
2015m6,-.8408071
2015m7,-.8764974
2015m8,-1.021502
2015m9,-1.183327
2015m10,-1.214062
2015m11,-1.046303
2015m12,-.8216237
2016m1,-.7815282
2016m2,-.6492748
2016m3,-.2743262
2016m4,.3865474
