date,cat_health_worries
2011m1,2.180972
2011m2,2.22547
2011m3,1.800185
2011m4,1.235958
2011m5,1.05938
2011m6,1.062315
2011m7,.9497184
2011m8,.8361443
2011m9,.6710166
2011m10,.3859924
2011m11,.1810015
2011m12,.3236267
2012m1,.7561455
2012m2,1.105097
2012m3,1.039653
2012m4,1.059081
2012m5,.9384235
2012m6,.671362
2012m7,.2102636
2012m8,.0449788
2012m9,.1682033
2012m10,.5355417
2012m11,.8189031
2012m12,.9826768
2013m1,.8581739
2013m2,.6091645
2013m3,.397215
2013m4,.4438531
2013m5,.4654263
2013m6,.5223488
2013m7,.1878621
2013m8,-.1847653
2013m9,-.3946822
2013m10,-.546963
2013m11,-.6662736
2013m12,-.6917647
2014m1,-.6331581
2014m2,-.359234
2014m3,-.021817
2014m4,.0910093
2014m5,-.186427
2014m6,-.4725692
2014m7,-.7677791
2014m8,-1.000301
2014m9,-1.149293
2014m10,-1.301247
2014m11,-1.395133
2014m12,-1.36713
2015m1,-1.042766
2015m2,-.774161
2015m3,-.7766179
2015m4,-1.019955
2015m5,-1.184083
2015m6,-1.106545
2015m7,-1.003186
2015m8,-.8247535
2015m9,-.7648777
2015m10,-.8029577
2015m11,-.8878504
2015m12,-.9530442
2016m1,-.8219455
2016m2,-.6917931
2016m3,-.6300371
2016m4,-.3940512
