region,date,christianisme
Picardie,2013m1,-.89758009
Picardie,2013m2,-.43504333
Picardie,2013m3,.24774501
Picardie,2013m4,-.61723423
Picardie,2013m5,-.74046546
Picardie,2013m6,-.78581011
Picardie,2013m7,-1.170858
Picardie,2013m8,-.40218738
Picardie,2013m9,-.32110801
Picardie,2013m10,-.18056597
Picardie,2013m11,-.25610316
Picardie,2013m12,.35142773
Picardie,2014m1,.32741183
Picardie,2014m2,.059689529
Picardie,2014m3,-.35926396
Picardie,2014m4,.69488317
Picardie,2014m5,.11488619
Picardie,2014m6,-.75701493
Picardie,2014m7,-.31186622
Picardie,2014m8,-.50228244
Picardie,2014m9,-.46094877
Picardie,2014m10,-.098230451
Picardie,2014m11,-.048202001
Picardie,2014m12,.38252357
Picardie,2015m1,.58594072
Picardie,2015m2,.23812878
Picardie,2015m3,.79438472
Picardie,2015m4,.4198218
Picardie,2015m5,-.01417567
Picardie,2015m6,-.5572716
Picardie,2015m7,.26232588
Picardie,2015m8,-.086532071
Picardie,2015m9,-.32712653
Picardie,2015m10,.13123004
Picardie,2015m11,.59276617
Picardie,2015m12,.9192853
Picardie,2016m1,.2178846
Picardie,2016m2,-.053273045
Picardie,2016m3,.47995904
Picardie,2016m4,.087518722
Picardie,2016m5,.18849088
Picardie,2016m6,-.13388234
Picardie,2016m7,.029995497
Picardie,2016m8,-.16753499
Picardie,2016m9,.31457853
Picardie,2016m10,.14900824
Picardie,2016m11,.16906983
Picardie,2016m12,.71439815
Picardie,2017m1,-.053402636
Picardie,2017m2,.53439915
Picardie,2017m3,1.1896752
