region,date,leisure
Centre,2013m1,-1.305356174707413
Centre,2013m2,.3065302269533277
Centre,2013m3,-.4526683539152145
Centre,2013m4,-.116030297242105
Centre,2013m5,-.2242358438670635
Centre,2013m6,-.6996158454567194
Centre,2013m7,-.6256330739706755
Centre,2013m8,1.062103793025017
Centre,2013m9,-.4326668307185173
Centre,2013m10,-.1398335509002209
Centre,2013m11,-.9523406624794006
Centre,2013m12,-.7118668258190155
Centre,2014m1,-.4693334810435772
Centre,2014m2,.2282103151082993
Centre,2014m3,-.4107749834656715
Centre,2014m4,.1032229699194431
Centre,2014m5,.0477342636440881
Centre,2014m6,.0714100394397974
Centre,2014m7,.814395397901535
Centre,2014m8,1.736036106944084
Centre,2014m9,.429204024374485
Centre,2014m10,.3900178674957715
Centre,2014m11,-.2683057859539986
Centre,2014m12,-.52734649553895
Centre,2015m1,-.6443250626325607
Centre,2015m2,.9011950641870499
Centre,2015m3,.2167801260948181
Centre,2015m4,.1926839575171471
Centre,2015m5,.4991241823881865
Centre,2015m6,.4140432775020599
Centre,2015m7,.9013046622276306
Centre,2015m8,1.88813704252243
Centre,2015m9,.3966081850230694
Centre,2015m10,.8044540900737047
Centre,2015m11,.3858506176620722
Centre,2015m12,.4594143256545067
Centre,2016m1,.155180349946022
Centre,2016m2,1.213690757751465
Centre,2016m3,.3804455250501633
Centre,2016m4,.8913968130946159
Centre,2016m5,.3739177100360394
Centre,2016m6,
