region,date,valeurs_république
Midi-Pyrenees,2013m1,.27500135
Midi-Pyrenees,2013m2,-.2855953
Midi-Pyrenees,2013m3,-.78255022
Midi-Pyrenees,2013m4,-.6054706
Midi-Pyrenees,2013m5,-1.0419838
Midi-Pyrenees,2013m6,-.88116783
Midi-Pyrenees,2013m7,-1.4911723
Midi-Pyrenees,2013m8,-1.9626033
Midi-Pyrenees,2013m9,-.29480267
Midi-Pyrenees,2013m10,-.9380936
Midi-Pyrenees,2013m11,-.073680408
Midi-Pyrenees,2013m12,-.40614322
Midi-Pyrenees,2014m1,.23268664
Midi-Pyrenees,2014m2,-.16768543
Midi-Pyrenees,2014m3,-1.0463291
Midi-Pyrenees,2014m4,-1.1294875
Midi-Pyrenees,2014m5,-.043509908
Midi-Pyrenees,2014m6,-.34723139
Midi-Pyrenees,2014m7,-1.0012364
Midi-Pyrenees,2014m8,-1.4489738
Midi-Pyrenees,2014m9,.32454199
Midi-Pyrenees,2014m10,-.20697978
Midi-Pyrenees,2014m11,.69937426
Midi-Pyrenees,2014m12,-.66314495
Midi-Pyrenees,2015m1,1.3551377
Midi-Pyrenees,2015m2,.53946435
Midi-Pyrenees,2015m3,.52978712
Midi-Pyrenees,2015m4,.0097970534
Midi-Pyrenees,2015m5,.48388255
Midi-Pyrenees,2015m6,-.38701496
Midi-Pyrenees,2015m7,-1.3897771
Midi-Pyrenees,2015m8,-.6611563
Midi-Pyrenees,2015m9,1.3348286
Midi-Pyrenees,2015m10,.28319138
Midi-Pyrenees,2015m11,1.4204483
Midi-Pyrenees,2015m12,.78009301
Midi-Pyrenees,2016m1,.95002919
Midi-Pyrenees,2016m2,-.082753025
Midi-Pyrenees,2016m3,.34566483
Midi-Pyrenees,2016m4,.99473816
Midi-Pyrenees,2016m5,.48031858
Midi-Pyrenees,2016m6,-.3926129
Midi-Pyrenees,2016m7,-.5922302
Midi-Pyrenees,2016m8,-.5040198
Midi-Pyrenees,2016m9,1.9530596
Midi-Pyrenees,2016m10,1.2160254
Midi-Pyrenees,2016m11,2.1004333
Midi-Pyrenees,2016m12,.93540615
Midi-Pyrenees,2017m1,1.1031443
Midi-Pyrenees,2017m2,.091176674
Midi-Pyrenees,2017m3,.70463896
