date,cat_spirituality
2011m1,-.069876
2011m2,.4840518
2011m3,.5517634
2011m4,.3527559
2011m5,-.2350228
2011m6,-.8146281
2011m7,-1.093924
2011m8,-1.033185
2011m9,-.4803927
2011m10,-.1855746
2011m11,-.2876861
2011m12,-.4405304
2012m1,-.4702537
2012m2,-.3520048
2012m3,-.3583476
2012m4,-.6313677
2012m5,-1.032642
2012m6,-1.43382
2012m7,-1.466063
2012m8,-1.179587
2012m9,-.6644673
2012m10,-.147827
2012m11,.4960963
2012m12,.8709028
2013m1,.6276656
2013m2,.3490192
2013m3,.0114157
2013m4,-.2474692
2013m5,-.2998048
2013m6,.0144968
2013m7,.7090154
2013m8,1.083315
2013m9,1.435638
2013m10,1.787036
2013m11,2.027958
2013m12,1.961309
2014m1,1.434185
2014m2,1.077905
2014m3,.9826415
2014m4,1.10727
2014m5,1.423079
2014m6,1.268423
2014m7,.6680623
2014m8,.1084086
2014m9,-.1060615
2014m10,-.272765
2014m11,-.4413803
2014m12,-.4989858
2015m1,-.3913251
2015m2,-.1599166
2015m3,.0610439
2015m4,.0366735
2015m5,-.4327036
2015m6,-.94064
2015m7,-1.250579
2015m8,-1.100312
2015m9,-.5721756
2015m10,-.2490332
2015m11,-.1878409
2015m12,-.3371391
2016m1,-.5100685
2016m2,-.4082238
2016m3,-.1921549
2016m4,.0456486
