region,date,travail
Franche-Comte,2013m1,.94455212
Franche-Comte,2013m2,.38405523
Franche-Comte,2013m3,1.4054092
Franche-Comte,2013m4,.029812073
Franche-Comte,2013m5,-.31102154
Franche-Comte,2013m6,.037650235
Franche-Comte,2013m7,-1.1617699
Franche-Comte,2013m8,-1.6181394
Franche-Comte,2013m9,.72400934
Franche-Comte,2013m10,1.1879528
Franche-Comte,2013m11,1.17048
Franche-Comte,2013m12,-.55056918
Franche-Comte,2014m1,1.0071485
Franche-Comte,2014m2,.47518572
Franche-Comte,2014m3,1.0292469
Franche-Comte,2014m4,.081669547
Franche-Comte,2014m5,-.05585847
Franche-Comte,2014m6,.83547747
Franche-Comte,2014m7,-.00051658787
Franche-Comte,2014m8,-.60034233
Franche-Comte,2014m9,-.32528985
Franche-Comte,2014m10,.9970336
Franche-Comte,2014m11,.72898954
Franche-Comte,2014m12,-.22412318
Franche-Comte,2015m1,1.5179691
Franche-Comte,2015m2,1.2473532
Franche-Comte,2015m3,.70677876
Franche-Comte,2015m4,.04951144
Franche-Comte,2015m5,.34646019
Franche-Comte,2015m6,1.2394772
Franche-Comte,2015m7,-1.5328779
Franche-Comte,2015m8,-.78372335
Franche-Comte,2015m9,.033116538
Franche-Comte,2015m10,-.71243137
Franche-Comte,2015m11,-.31754529
Franche-Comte,2015m12,-.92826325
Franche-Comte,2016m1,.31878754
Franche-Comte,2016m2,-.060531497
Franche-Comte,2016m3,.28786483
Franche-Comte,2016m4,-.45545712
Franche-Comte,2016m5,.56035495
Franche-Comte,2016m6,.17971537
Franche-Comte,2016m7,-1.5977942
Franche-Comte,2016m8,-1.4800384
Franche-Comte,2016m9,-.25336829
Franche-Comte,2016m10,-1.3673172
Franche-Comte,2016m11,-.5200882
Franche-Comte,2016m12,-1.4670998
Franche-Comte,2017m1,.0052183047
Franche-Comte,2017m2,-1.0326897
Franche-Comte,2017m3,-.61711705
