date,cat_family
2011m1,-.6572011
2011m2,-.5562866
2011m3,-.5599738
2011m4,-.7171869
2011m5,-.9207447
2011m6,-.8411153
2011m7,-.4917953
2011m8,-.1249965
2011m9,.6219041
2011m10,1.60377
2011m11,1.985032
2011m12,1.403614
2012m1,.3803789
2012m2,-.1444261
2012m3,-.6783726
2012m4,-1.183384
2012m5,-1.466722
2012m6,-1.380663
2012m7,-1.002633
2012m8,-.5340021
2012m9,-.2428391
2012m10,-.0051368
2012m11,.2901674
2012m12,.5194346
2013m1,.4604077
2013m2,.3834651
2013m3,.0515335
2013m4,-.5180041
2013m5,-.976837
2013m6,-.9583869
2013m7,-.2812344
2013m8,.3764417
2013m9,.7499728
2013m10,.9319349
2013m11,.767283
2013m12,.1171818
2014m1,-.4173371
2014m2,-.5442993
2014m3,-.6927088
2014m4,-.8394318
2014m5,-.993221
2014m6,-.8010579
2014m7,-.3734027
2014m8,.0992436
2014m9,.6103164
2014m10,.9382305
2014m11,1.173782
2014m12,1.073354
2015m1,.567924
2015m2,.146198
2015m3,-.2414287
2015m4,-.6842661
2015m5,-.9784867
2015m6,-.6115941
2015m7,.1121439
2015m8,.7203896
2015m9,.9595084
2015m10,1.156722
2015m11,1.267429
2015m12,1.157754
2016m1,.7348933
2016m2,.2379787
2016m3,-.0044764
2016m4,-.1747366
